record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
490,,TRACKING,14,6268920,6528,1952,1952,1861,0.0333399,3,0.000135393,17430,277,1028,289,12812,14858,1555,1344,18255
497,,TRACKING,8,6163277,6528,1358,1358,1171,0.0492059,4,2.35226e-06,17636,151,1047,160,13304,14988,1353,1344,17883
504,LiDAR scans overlap a previously propagated interval,TRACKING,8,6163277,6528,1358,1358,1171,0.0492059,4,2.35226e-06,17636,151,1047,160,13304,14988,1353,1344,17883
510,,TRACKING,13,6225605,6528,1965,1965,1882,0.0354527,3,0.00015604,17847,248,1027,258,13073,15136,1637,1344,18565
517,LiDAR scans overlap a previously propagated interval,TRACKING,13,6225605,6528,1965,1965,1882,0.0354527,3,0.00015604,17847,248,1027,258,13073,15136,1637,1344,18565
524,,TRACKING,14,6225605,6528,1273,1273,1029,0.0504711,4,5.06924e-05,18026,263,1020,160,12501,14010,1162,1344,16799
531,,TRACKING,8,6156349,6528,1939,1939,1840,0.0345846,3,4.55282e-05,18246,149,1026,233,13287,15334,1643,1344,18583
538,,TRACKING,7,6198552,6528,1533,1533,1278,0.047252,3,2.94344e-05,18439,128,1050,173,11232,12599,1371,1709,17207
544,,TRACKING,8,6198552,6528,1131,1131,931,0.065349,3,6.36158e-05,18707,169,1051,162,8548,9561,1184,1709,12293
551,,TRACKING,8,6111818,6528,2044,2044,1917,0.0406458,3,0.000362052,19017,147,1017,243,13570,15610,1902,1709,19155
558,,TRACKING,8,6106792,6528,1551,1551,1300,0.0578792,3,0.000329582,19330,152,1050,190,11383,12756,1551,1709,15888
565,LiDAR scans overlap a previously propagated interval,TRACKING,8,6106792,6528,1551,1551,1300,0.0578792,3,0.000329582,19330,152,1050,190,11383,12756,1551,1709,15888
572,,TRACKING,14,6260632,6528,1983,1983,1867,0.0393241,3,0.000127089,19642,263,1024,238,13661,15690,1664,1709,19089
578,LiDAR scans overlap a previously propagated interval,TRACKING,14,6260632,6528,1983,1983,1867,0.0393241,3,0.000127089,19642,263,1024,238,13661,15690,1664,1709,19089
585,,TRACKING,13,6253282,6528,909,909,741,0.0478141,4,1.32828e-06,19745,249,1018,121,9008,10095,860,1709,12477
592,,TRACKING,8,6108772,6528,2098,2098,1945,0.0404347,3,0.00019304,20085,149,1053,260,14293,16354,1982,1709,20002
599,,TRACKING,8,6043175,6528,1751,1751,1502,0.0486809,3,0.000226803,20392,146,1018,192,13298,14946,1798,1709,18306
605,,TRACKING,7,6035877,6528,830,830,658,0.0512716,3,1.85274e-06,20527,126,1018,114,5972,6684,768,1709,8826
612,,TRACKING,8,6232288,6528,2059,2059,1925,0.0395899,3,4.19555e-05,20830,144,987,221,13642,15619,1726,1709,18868
619,,TRACKING,8,7853394,6528,1884,1884,1625,0.0542263,3,0.000107976,21186,138,964,189,13329,14999,2035,1908,20439
626,LiDAR scans overlap a previously propagated interval,TRACKING,8,7853394,6528,1884,1884,1625,0.0542263,3,0.000107976,21186,138,964,189,13329,14999,2035,1908,20439
633,,TRACKING,14,7853394,6528,2011,2011,1863,0.036862,3,9.40213e-05,21408,252,992,222,13243,15207,1640,1908,18508
639,LiDAR scans overlap a previously propagated interval,TRACKING,14,7853394,6528,2011,2011,1863,0.036862,3,9.40213e-05,21408,252,992,222,13243,15207,1640,1908,18508
646,,TRACKING,13,7241891,6528,750,750,587,0.0475553,3,0.000240506,21484,239,1018,159,5612,6291,759,1908,8608
653,,TRACKING,8,6075007,6528,2082,2082,1897,0.0415694,3,0.000208087,21781,143,1015,245,14760,16816,1798,1908,20216
660,,TRACKING,8,6127479,6528,2084,2084,1808,0.0488665,3,4.72806e-05,22096,143,1000,264,14784,16655,1949,1908,20267
666,,TRACKING,7,6067102,6528,692,692,517,0.0492124,3,6.6785e-05,22173,125,992,108,4846,5412,585,1908,7348
