cohort,run,path,size_bytes,sha256
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/metadata.json,251438,bf5796a790cf0e45c31889838a806bff8dfc33e497e262c6a809549338c7cb05
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/scenario.json,1317895,cd22940661750881e157f5162ae37b6b4b8427151434babe3ebfc172ba1b0a48
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/scenario.jsonl,37239121,b406838dd3b544d922a26afbf030f2c0c7fbf4d4e9d429fb788f23f250bdab1d
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/samples.jsonl,64122511,8aef28471054d8a4652e787e581394d43690ae1998023939d789f62263599323
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/report.json,28140119,413b93af87e028b0a4b5d318fd98e8f6c9cb941157653d1d8259e261c5cdec88
verified,1,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T214936-290844/rosbag/rosbag_0.db3,563847168,fea6d73e9803c0c563d94cd41dcd710da5e5749bea4a3c307054e180d4e5819d
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/metadata.json,251438,a87db14b65c452aa619b29d657f8fee642dcaa21e2d49ae41dba65e759b9803e
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/scenario.json,331599,c93f2877474025a7a6ffd0a2029248cf1695cf2d5801fb739fd77a2b754f26e5
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/scenario.jsonl,8702737,78e92006f8e67025df97c8120364fc7ba0acb2393be9ea37f869d4ae860c3e04
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/samples.jsonl,27987028,b00c11d5770901b750b545926b05468f077862c44f6045bee29ca5dc843497f4
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/report.json,6666193,8076dbdc623f9672ba5ed350bbee8196a6ab0c6eed942492265fcbd041b96996
verified,2,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215146-294111/rosbag/rosbag_0.db3,300281856,70f023968227aa0b7b493fea3cf08a01185037a4b0ecbee5efbda15355199ba9
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/metadata.json,251438,98e7ea65a9b1dd002e83e9ae9c193ed989cedd69bfb37065803fc7d3d659de68
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/scenario.json,864584,b8782bb611532f39779040ac146ebc98fca9d867ebe04c4fbdc91776b0a66f5f
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/scenario.jsonl,23794541,ff14e0efb2707fd3baf2981295c20b5e16167dd9015c8971f8d31310580a4760
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/samples.jsonl,49112982,1d519c0e9c15e7c6db0d2bb9baa03e8380f5bb9074cc119cb618503bfe4567e9
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/report.json,17876252,947dd5f1dc2372ce68ca2b2bbd5241c4c74a5a92c51b5d09c9aed92c6a428e4b
verified,3,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215301-297196/rosbag/rosbag_0.db3,459530240,ba1ce860d3e50ae71b00c4a26529509de08e875d6d2d1299de31aa1d80260648
verified,4,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260924T215446-300386/metadata.json,251438,3b7e5ebda99ba725e47396544c6bf4a866e71f01c63d62787f1eeb48c831808f
