record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
2641,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227225320366 current_scan_start_ns=1701245227224861383 current_scan_end_ns=1701245227257496383 overlap_duration_ns=458983 scan_index=387,TRACKING,8,6109945,6528,2037,2037,1648,0.03255,3,5.46927e-05,39361,138,1077,340,19295,22294,2293,4266,26422
2648,,TRACKING,13,6235480,6528,651,651,389,0.0340282,2,0.000164259,39367,231,1004,139,3702,4158,427,4266,6118
2655,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227291791942 current_scan_start_ns=1701245227291517496 current_scan_end_ns=1701245227324152496 overlap_duration_ns=274446 scan_index=389,TRACKING,13,6235480,6528,651,651,389,0.0340282,2,0.000164259,39367,231,1004,139,3702,4158,427,4266,6118
2662,,TRACKING,14,7793190,6528,2202,2202,1870,0.0299359,3,0.000171186,39434,261,1043,316,18578,21691,2125,4266,25684
2669,,TRACKING,7,6050322,6528,648,648,396,0.0350122,3,0.000255042,39438,120,939,137,4985,5612,456,4266,7449
2675,,TRACKING,8,6145139,6528,2027,2027,1626,0.0304378,3,7.94226e-05,39489,132,946,285,16013,18460,1774,4266,21800
2682,,TRACKING,8,7234008,6528,2116,2116,1823,0.0288929,3,8.6946e-05,39525,127,867,297,15997,18799,1859,4266,22243
2689,,TRACKING,8,6138621,6528,735,735,445,0.0367646,3,1.06088e-05,39534,124,874,145,5544,6214,524,4266,8071
2696,,TRACKING,8,6147826,6528,2015,2015,1556,0.0336997,3,0.000131865,39575,130,901,287,15722,18050,1699,4266,21264
2703,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227525303867 current_scan_start_ns=1701245227525039434 current_scan_end_ns=1701245227557674434 overlap_duration_ns=264433 scan_index=396,TRACKING,8,6147826,6528,2015,2015,1556,0.0336997,3,0.000131865,39575,130,901,287,15722,18050,1699,4266,21264
2709,,TRACKING,13,6174990,6528,717,717,444,0.034866,3,3.44473e-05,39582,196,858,126,5374,6026,467,4266,7806
2716,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227591789510 current_scan_start_ns=1701245227591458797 current_scan_end_ns=1701245227624093797 overlap_duration_ns=330713 scan_index=398,TRACKING,13,6174990,6528,717,717,444,0.034866,3,3.44473e-05,39582,196,858,126,5374,6026,467,4266,7806
2723,,TRACKING,14,7705603,6528,2130,2130,1822,0.0280603,3,0.000123447,39639,233,926,288,15805,18602,1920,4131,26325
2729,,TRACKING,8,6235597,6528,801,801,505,0.034743,3,1.1219e-07,39643,129,897,162,6216,6988,513,4131,8870
2736,,TRACKING,7,6235597,6528,1820,1820,1304,0.034561,3,3.55976e-05,39702,109,897,238,14661,16660,1749,4131,19841
2743,,TRACKING,8,6190637,6528,2093,2093,1789,0.028642,3,0.000141829,39762,128,872,309,15393,18174,1946,4131,21725
2750,,TRACKING,8,6128358,6528,805,805,529,0.0340756,3,4.5122e-05,39773,123,897,151,6186,7002,635,4131,8978
2757,,TRACKING,8,6115641,6528,1725,1725,1280,0.0339272,3,0.000270341,39815,125,893,219,13944,15995,1782,4131,19216
2764,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227825433042 current_scan_start_ns=1701245227825045824 current_scan_end_ns=1701245227857680824 overlap_duration_ns=387218 scan_index=405,TRACKING,8,6115641,6528,1725,1725,1280,0.0339272,3,0.000270341,39815,125,893,219,13944,15995,1782,4131,19216
2770,,TRACKING,13,6128121,6528,876,876,558,0.0351207,2,0.00036374,39828,209,890,154,4629,5235,712,4131,7336
2777,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227891799715 current_scan_start_ns=1701245227891503334 current_scan_end_ns=1701245227924138334 overlap_duration_ns=296381 scan_index=407,TRACKING,13,6128121,6528,876,876,558,0.0351207,2,0.00036374,39828,209,890,154,4629,5235,712,4131,7336
2784,,TRACKING,14,7003368,6528,2051,2051,1832,0.0279371,3,0.000152922,39873,231,954,297,15955,18919,1993,4131,22672
2791,,TRACKING,8,6206249,6528,1009,1009,673,0.0371351,3,1.5849e-06,39891,127,894,172,7794,8812,855,4131,11044
2797,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245227991370466 current_scan_start_ns=1701245227991144896 current_scan_end_ns=1701245228023779896 overlap_duration_ns=225570 scan_index=410,TRACKING,8,6206249,6528,1009,1009,673,0.0371351,3,1.5849e-06,39891,127,894,172,7794,8812,855,4131,11044
2804,,TRACKING,13,6102832,6528,2006,2006,1771,0.0271422,3,6.51112e-05,39940,201,877,277,14975,17716,1631,4131,20909
2811,,TRACKING,8,6134833,6528,1155,1155,763,0.0371255,3,0.00012777,39959,129,884,173,9150,10318,1029,3860,16573
2818,,TRACKING,8,6092616,6528,1553,1553,1098,0.0354557,3,6.53436e-05,39988,125,863,240,12182,13881,1377,3860,16661
2824,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228125388887 current_scan_start_ns=1701245228125050545 current_scan_end_ns=1701245228157685545 overlap_duration_ns=338342 scan_index=414,TRACKING,8,6092616,6528,1553,1553,1098,0.0354557,3,6.53436e-05,39988,125,863,240,12182,13881,1377,3860,16661
2831,,TRACKING,13,6116338,6528,1185,1185,772,0.0361816,3,6.55015e-05,39997,196,883,183,9541,10756,1071,3860,13255
2838,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228191797760 current_scan_start_ns=1701245228191476583 current_scan_end_ns=1701245228224111583 overlap_duration_ns=321177 scan_index=416,TRACKING,13,6116338,6528,1185,1185,772,0.0361816,3,6.55015e-05,39997,196,883,183,9541,10756,1071,3860,13255
2845,,TRACKING,14,7515461,6528,1919,1919,1724,0.0261669,3,0.000185324,40043,228,920,293,13924,16658,1398,3860,19731
2852,,TRACKING,8,6241167,6528,1378,1378,932,0.0361477,3,9.53955e-05,40077,127,917,213,11245,12691,1265,3860,15410
2859,,TRACKING,8,6045635,6528,1336,1336,913,0.0346659,3,5.89359e-05,40105,120,914,201,10226,11690,1129,3860,14219
2865,,TRACKING,7,6104366,6528,1927,1927,1720,0.0252991,3,0.000196068,40152,107,873,269,13706,16354,1457,3860,19279
2872,,TRACKING,8,6033327,6528,1457,1457,1015,0.0367596,2,8.64666e-05,40194,125,893,212,7828,8872,1428,3860,11729
2879,,TRACKING,8,6094634,6528,1221,1221,808,0.0350541,3,0.000125195,40217,129,907,193,9338,10591,1043,3860,13008
2885,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228425307539 current_scan_start_ns=1701245228425019026 current_scan_end_ns=1701245228457654026 overlap_duration_ns=288513 scan_index=423,TRACKING,8,6094634,6528,1221,1221,808,0.0350541,3,0.000125195,40217,129,907,193,9338,10591,1043,3860,13008
2893,,TRACKING,14,6924868,6528,1575,1575,1131,0.0352972,3,0.000133282,40250,233,869,217,12525,14284,1508,3860,17284
2899,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228491780546 current_scan_start_ns=1701245228491471052 current_scan_end_ns=1701245228524106052 overlap_duration_ns=309494 scan_index=425,TRACKING,14,6924868,6528,1575,1575,1131,0.0352972,3,0.000133282,40250,233,869,217,12525,14284,1508,3860,17284
2906,,TRACKING,13,6094353,6528,2024,2024,1823,0.0271501,3,7.66676e-05,40295,207,906,297,14624,17470,1904,4123,25156
2913,,TRACKING,8,6225130,6528,1699,1699,1177,0.0352201,3,4.91913e-05,40327,123,885,239,13278,15104,1512,4123,18094
2920,,TRACKING,8,6067490,6528,1026,1026,639,0.035251,3,0.000166022,40339,124,883,165,7801,8787,758,4123,10847
2926,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228625094679 current_scan_start_ns=1701245228624957561 current_scan_end_ns=1701245228657592561 overlap_duration_ns=137118 scan_index=429,TRACKING,8,6067490,6528,1026,1026,639,0.035251,3,0.000166022,40339,124,883,165,7801,8787,758,4123,10847
2933,,TRACKING,13,6196073,6528,1692,1692,1263,0.03637,3,8.90137e-05,40377,206,887,227,13514,15452,1802,4123,18746
2940,,TRACKING,8,7557369,6528,883,883,589,0.0356187,3,3.60925e-05,40389,129,914,166,7054,8004,688,4123,10053
2947,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228725434807 current_scan_start_ns=1701245228724808693 current_scan_end_ns=1701245228757443693 overlap_duration_ns=626114 scan_index=432,TRACKING,8,7557369,6528,883,883,589,0.0356187,3,3.60925e-05,40389,129,914,166,7054,8004,688,4123,10053
2954,,TRACKING,14,6373618,6528,1723,1723,1295,0.0331171,3,0.000460852,40436,232,942,239,14533,16685,1917,4123,20205
2960,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245228791820314 current_scan_start_ns=1701245228791472197 current_scan_end_ns=1701245228824107197 overlap_duration_ns=348117 scan_index=434,TRACKING,14,6373618,6528,1723,1723,1295,0.0331171,3,0.000460852,40436,232,942,239,14533,16685,1917,4123,20205
2967,,TRACKING,13,6281516,6528,2111,2111,1786,0.0298804,3,5.09046e-05,40493,207,908,305,15592,18286,1923,4123,21888
2974,,TRACKING,8,6087632,6528,1872,1872,1410,0.0363678,3,0.000630063,40554,132,913,307,15273,17476,1910,4123,21020
2981,,TRACKING,8,6040446,6528,705,705,413,0.0381155,3,7.69964e-05,40567,125,877,129,5260,5893,505,4123,7648
2988,,TRACKING,7,6063655,6528,2024,2024,1758,0.0279414,3,0.000153082,40618,108,892,291,15101,17798,1720,4123,21024
2994,,TRACKING,8,6344442,6528,2014,2014,1574,0.034092,3,3.18281e-05,40669,123,888,281,15982,18357,1984,3889,25757
3001,,TRACKING,8,6088239,6528,739,739,454,0.036012,3,3.11622e-05,40672,128,896,134,5411,6091,548,3889,7951
3008,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229025303867 current_scan_start_ns=1701245229024998188 current_scan_end_ns=1701245229057633188 overlap_duration_ns=305679 scan_index=441,TRACKING,8,6088239,6528,739,739,454,0.036012,3,3.11622e-05,40672,128,896,134,5411,6091,548,3889,7951
3015,,TRACKING,14,6249235,6528,2001,2001,1572,0.0326354,3,4.10559e-05,40708,232,906,273,16208,18715,2020,3889,22359
3021,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229091769960 current_scan_start_ns=1701245229091450930 current_scan_end_ns=1701245229124085930 overlap_duration_ns=319030 scan_index=443,TRACKING,14,6249235,6528,2001,2001,1572,0.0326354,3,4.10559e-05,40708,232,906,273,16208,18715,2020,3889,22359
3028,,TRACKING,13,6613809,6528,2143,2143,1792,0.0301547,3,0.000171359,40752,215,916,372,16255,19007,1906,3889,22708
3035,,TRACKING,8,6613809,6528,2172,2172,1671,0.0311427,3,4.71595e-05,40802,131,917,301,17503,20121,2141,3889,23899
3042,,TRACKING,8,6084549,6528,649,649,387,0.0355973,3,4.50757e-05,40808,125,889,133,4565,5134,375,3889,6795
3049,,TRACKING,8,6414216,6528,2101,2101,1789,0.0285332,3,1.63151e-05,40844,135,928,338,16286,19115,1903,3889,22639
3055,,TRACKING,7,6079786,6528,2107,2107,1710,0.0306413,3,8.88699e-05,40885,112,896,312,16703,19331,1923,3889,22844
3062,,TRACKING,8,6255802,6528,614,614,385,0.0340002,3,4.68661e-05,40890,123,876,117,4345,4900,353,3889,6488
3069,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229325214651 current_scan_start_ns=1701245229325011492 current_scan_end_ns=1701245229357646492 overlap_duration_ns=203159 scan_index=450,TRACKING,8,6255802,6528,614,614,385,0.0340002,3,4.68661e-05,40890,123,876,117,4345,4900,353,3889,6488
3076,,TRACKING,14,6187135,6528,2077,2077,1691,0.0293414,3,0.000119537,40916,216,893,286,16408,19007,1943,3889,22548
3082,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229391811874 current_scan_start_ns=1701245229391471386 current_scan_end_ns=1701245229424106386 overlap_duration_ns=340488 scan_index=452,TRACKING,14,6187135,6528,2077,2077,1691,0.0293414,3,0.000119537,40916,216,893,286,16408,19007,1943,3889,22548
3089,,TRACKING,13,6054959,6528,2199,2199,1797,0.0304674,3,0.000242552,40951,207,902,308,17337,20227,2014,4047,27970
3096,,TRACKING,8,6387736,6528,2104,2104,1716,0.0308406,3,9.01246e-05,40999,125,918,313,16923,19541,1897,4047,23071
3103,,TRACKING,8,6607211,6528,678,678,404,0.0366692,3,0.000109795,41006,121,855,128,4772,5361,443,4047,7040
3110,,TRACKING,8,6142443,6528,2151,2151,1745,0.0296381,3,2.07802e-05,41043,125,898,281,16500,19079,1976,4047,22566
3116,,TRACKING,7,6344008,6528,2084,2084,1719,0.0302044,2,0.000113856,41085,107,879,374,10592,12338,1948,4047,15944
3123,,TRACKING,8,6222896,6528,590,590,349,0.033135,3,1.1592e-05,41087,123,873,120,4148,4657,329,4047,6207
3130,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229625373867 current_scan_start_ns=1701245229624990225 current_scan_end_ns=1701245229657625225 overlap_duration_ns=383642 scan_index=459,TRACKING,8,6222896,6528,590,590,349,0.033135,3,1.1592e-05,41087,123,873,120,4148,4657,329,4047,6207
3137,,TRACKING,14,6222896,6528,2186,2186,1822,0.0294542,2,0.000166997,41122,225,899,286,11245,13120,2197,4047,16968
3143,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229691771057 current_scan_start_ns=1701245229691476345 current_scan_end_ns=1701245229724111345 overlap_duration_ns=294712 scan_index=461,TRACKING,14,6222896,6528,2186,2186,1822,0.0294542,2,0.000166997,41122,225,899,286,11245,13120,2197,4047,16968
3150,,TRACKING,13,6313850,6528,2087,2087,1640,0.0311046,3,9.07086e-05,41149,207,891,287,16605,19206,1914,4047,22763
3157,,TRACKING,8,6454244,6528,2129,2129,1770,0.0293525,3,5.53005e-05,41196,123,871,301,16551,19310,2078,4047,22981
3164,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245229791324880 current_scan_start_ns=1701245229791163206 current_scan_end_ns=1701245229823798206 overlap_duration_ns=161674 scan_index=464,TRACKING,8,6454244,6528,2129,2129,1770,0.0293525,3,5.53005e-05,41196,123,871,301,16551,19310,2078,4047,22981
3171,,TRACKING,14,6371595,6528,1951,1951,1550,0.0312744,3,0.00011245,41236,227,925,274,15809,18252,1840,4047,21773
3178,,TRACKING,7,6222825,6528,2219,2219,1881,0.0290522,3,4.58649e-05,41293,111,927,320,16889,19758,2044,3957,27396
