cohort,run,outcome,metric,n,p50_ms,p95_ms,p99_ms,max_ms
predecessor,7,COMPLETE,callback_to_accept_ms,3639,0.001108,0.002321,0.003576,0.014546
predecessor,7,COMPLETE,accepted_receive_gap_ms,3638,24.99951,25.399832,25.691845,28.059614
predecessor,8,COMPLETE,source_period_ms,3343,20.0,20.0,20.0,24.0
predecessor,8,COMPLETE,producer_publish_interval_ms,3482,24.993335,25.406618,25.677924,30.305923
predecessor,8,COMPLETE,worker_ready_to_publish_ms,3483,0.061133,0.085469,0.100668,0.16556
predecessor,8,COMPLETE,publisher_enter_to_publish_ms,3483,0.060646,0.084682,0.099712,0.164751
predecessor,8,COMPLETE,publisher_publish_to_exit_ms,3483,0.05287,0.086693,0.114491,0.44961
predecessor,8,COMPLETE,publish_to_callback_ms,3344,0.091548,0.156606,0.223898,1.737399
predecessor,8,COMPLETE,mutex_wait_ms,3344,8.9e-05,0.000273,0.000553,0.00204
predecessor,8,COMPLETE,callback_to_accept_ms,3344,0.000864,0.001914,0.002869,0.005497
predecessor,8,COMPLETE,accepted_receive_gap_ms,3343,24.993594,25.449725,25.715089,30.34878
predecessor,9,COMPLETE,source_period_ms,3495,20.0,20.0,20.0,20.0
predecessor,9,COMPLETE,producer_publish_interval_ms,3624,24.999632,25.361171,25.616713,27.250468
predecessor,9,COMPLETE,worker_ready_to_publish_ms,3625,0.060634,0.083546,0.09717,0.188573
predecessor,9,COMPLETE,publisher_enter_to_publish_ms,3625,0.060203,0.082924,0.096727,0.188171
predecessor,9,COMPLETE,publisher_publish_to_exit_ms,3625,0.051605,0.078655,0.100229,0.866085
predecessor,9,COMPLETE,publish_to_callback_ms,3496,0.110417,0.186089,0.242693,0.988722
predecessor,9,COMPLETE,mutex_wait_ms,3496,0.000164,0.000505,0.000922,0.023206
predecessor,9,COMPLETE,callback_to_accept_ms,3496,0.001128,0.002407,0.003818,0.031384
predecessor,9,COMPLETE,accepted_receive_gap_ms,3495,24.998517,25.390234,25.697964,27.273902
predecessor,10,COMPLETE,source_period_ms,3138,20.0,20.0,20.0,20.0
predecessor,10,COMPLETE,producer_publish_interval_ms,3268,25.001126,25.345206,25.555146,26.628752
predecessor,10,COMPLETE,worker_ready_to_publish_ms,3269,0.060866,0.084092,0.098217,0.184439
predecessor,10,COMPLETE,publisher_enter_to_publish_ms,3269,0.060409,0.083345,0.097673,0.183903
predecessor,10,COMPLETE,publisher_publish_to_exit_ms,3269,0.052287,0.079344,0.098151,0.156262
predecessor,10,COMPLETE,publish_to_callback_ms,3139,0.111865,0.182076,0.236722,1.292513
predecessor,10,COMPLETE,mutex_wait_ms,3139,0.000189,0.000556,0.001023,0.008486
predecessor,10,COMPLETE,callback_to_accept_ms,3139,0.001089,0.002245,0.003806,0.079963
predecessor,10,COMPLETE,accepted_receive_gap_ms,3138,24.999206,25.373083,25.606875,26.686727
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,accepted_receive_gap_ms,3311,24.991321,25.470452,25.885986,784.659307
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,callback_to_accept_ms,3312,0.001067,0.002262,0.003276,0.012495
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,mutex_wait_ms,3312,0.000187,0.000546,0.000962,0.007436
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,producer_publish_interval_ms,3444,24.992832,25.443406,25.826569,784.664965
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,publish_to_callback_ms,3312,0.114163,0.195874,0.280105,1.594929
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,publisher_enter_to_publish_ms,3445,0.06013,0.08392,0.096916,0.147455
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,publisher_publish_to_exit_ms,3445,0.052274,0.082754,0.103762,0.244978
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,source_period_ms,3311,20.0,20.0,20.0,180.0
current_native_natural_1,external-mode-check-20260924T143628-56252,PAUSED_SAFETY_STOP,worker_ready_to_publish_ms,3445,0.060499,0.084524,0.097593,0.148427
current_control,external-mode-check-20260924T144205-60149,COMPLETE,accepted_receive_gap_ms,3441,24.998182,25.397279,25.651044,26.813049
current_control,external-mode-check-20260924T144205-60149,COMPLETE,callback_to_accept_ms,3442,0.001118,0.002479,0.003704,0.017335
current_control,external-mode-check-20260924T144205-60149,COMPLETE,mutex_wait_ms,3442,0.000195,0.000637,0.001086,0.004244
current_control,external-mode-check-20260924T144205-60149,COMPLETE,producer_publish_interval_ms,3585,24.996264,25.368089,25.610646,26.8839
current_control,external-mode-check-20260924T144205-60149,COMPLETE,publish_to_callback_ms,3442,0.110645,0.192865,0.269438,0.662993
current_control,external-mode-check-20260924T144205-60149,COMPLETE,publisher_enter_to_publish_ms,3586,0.05964,0.080675,0.094515,0.121536
current_control,external-mode-check-20260924T144205-60149,COMPLETE,publisher_publish_to_exit_ms,3586,0.051488,0.0803,0.101038,0.303906
current_control,external-mode-check-20260924T144205-60149,COMPLETE,source_period_ms,3441,20.0,20.0,20.0,20.0
current_control,external-mode-check-20260924T144205-60149,COMPLETE,worker_ready_to_publish_ms,3586,0.060124,0.081399,0.095873,0.122353
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,accepted_receive_gap_ms,3377,24.999828,25.452383,25.736206,27.969121
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,callback_to_accept_ms,3378,0.001174,0.002598,0.004235,0.017396
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,mutex_wait_ms,3378,0.000218,0.000695,0.001297,0.012265
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,producer_publish_interval_ms,3509,24.996775,25.405626,25.661181,27.794096
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,publish_to_callback_ms,3378,0.111562,0.191181,0.261486,1.107175
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,publisher_enter_to_publish_ms,3510,0.059536,0.081914,0.095603,0.18008
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,publisher_publish_to_exit_ms,3510,0.051591,0.082346,0.103682,1.038791
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,source_period_ms,3377,20.0,20.0,20.0,20.0
current_native_natural_2,external-mode-check-20260924T144810-63939,COMPLETE,worker_ready_to_publish_ms,3510,0.059932,0.082401,0.096491,0.18075
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,accepted_receive_gap_ms,3421,25.008112,25.389783,25.617133,29.733235
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,callback_to_accept_ms,3422,0.001089,0.002234,0.003644,0.011655
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,mutex_wait_ms,3422,0.000176,0.000548,0.001068,0.010189
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,producer_publish_interval_ms,3573,25.007195,25.374245,25.600795,29.797893
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,publish_to_callback_ms,3422,0.114339,0.185958,0.242657,1.446071
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,publisher_enter_to_publish_ms,3574,0.061209,0.087145,0.10283,0.284843
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,publisher_publish_to_exit_ms,3574,0.053654,0.085206,0.103751,0.721743
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,source_period_ms,3421,20.0,20.0,20.0,24.0
current_native_natural_3,external-mode-check-20260924T145335-67672,COMPLETE,worker_ready_to_publish_ms,3574,0.061593,0.087778,0.103503,0.285647
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,accepted_receive_gap_ms,1433,24.987847,25.504475,25.802623,373.873725
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,callback_to_accept_ms,1434,0.000895,0.001956,0.002767,0.009083
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,mutex_wait_ms,1434,9e-05,0.000294,0.000499,0.00249
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,producer_publish_interval_ms,1603,24.986105,25.468736,25.73271,373.855157
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,publish_to_callback_ms,1434,0.093477,0.166806,0.248162,2.940947
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,publisher_enter_to_publish_ms,1604,0.061639,0.088581,0.108202,0.184039
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,publisher_publish_to_exit_ms,1604,0.053591,0.089368,0.11596,0.141932
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,source_period_ms,1433,20.0,20.0,20.0,212.0
controlled_gazebo_pause,external-mode-check-20260924T145951-71499,FAILED_COMPONENT,worker_ready_to_publish_ms,1604,0.062078,0.089257,0.109547,0.184465
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,accepted_receive_gap_ms,1460,24.99894,25.524023,25.92265,27.669384
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,callback_to_accept_ms,1461,0.001135,0.002751,0.003646,0.00582
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,mutex_wait_ms,1461,0.000204,0.000688,0.001078,0.004774
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,producer_publish_interval_ms,1592,24.999847,25.463597,25.788256,26.295331
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,publish_to_callback_ms,1461,0.109203,0.206804,0.308024,1.875187
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,publisher_enter_to_publish_ms,1593,0.061367,0.089384,0.110334,0.178084
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,publisher_publish_to_exit_ms,1593,0.049996,0.085457,0.114116,0.203265
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,source_period_ms,1460,20.0,20.0,20.0,20.0
controlled_core_pause,external-mode-check-20260924T151057-79276,PAUSED_SAFETY_STOP,worker_ready_to_publish_ms,1593,0.061815,0.090019,0.111437,0.179136
