run,origin,kind,bag_observer_ns,ros_now_ns,px4_source_stamp_ns,diagnostic_sequence,attempt_generation,outcome,nav_state,executor_in_charge,flags,retry_deadline_steady_ns,raw_command,raw_result,source_file
W3,AUDIT,EXECUTOR_ACTIVATE,1790145663497635941,23968000000,0,231,0,0,,,0,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,PX4_RAW,RAW_HOLD_COMMAND,1790145664778593476,,0,,,,,,,,100001:4.0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/px4_protocol_raw.jsonl
W3,PX4_RAW,RAW_MODE_COMMAND_ACK,1790145664786846868,,25012000000,,,,,,,,100001:,0,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/px4_protocol_raw.jsonl
W3,AUDIT,HOLD_REQUEST,1790145664787458897,25004000000,0,354,0,0,,,9,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,SCHEDULE_ATTEMPT,1790145664787465789,25004000000,0,355,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,RETRY_TICK,1790145664806226480,25012000000,0,358,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,RETRY_TICK,1790145664846226660,25052000000,0,359,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,RETRY_TICK,1790145664906292757,25092000000,0,361,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,RETRY_TICK,1790145664946263816,25132000000,0,362,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,RETRY_TICK,1790145665006201688,25172000000,0,363,1,0,,,11,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145665026313510,25188000000,25024000000,364,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145665446260309,25528000000,25528000000,365,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145666066234020,26032000000,26032000000,367,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145666706235391,26536000000,26536000000,368,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145667326212648,27040000000,27040000000,370,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145667966244095,27544000000,27544000000,372,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145668586220559,28048000000,28048000000,373,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145669226244681,28552000000,28552000000,375,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145669846246294,29056000000,29056000000,376,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145670486227288,29556000000,29560000000,378,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,AUDIT,VEHICLE_STATUS,1790145671106252641,30064000000,30064000000,380,1,1,4,1,12,0,,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
