run,kind,ros_now_ns,source_stamp_ns,bag_observer_ns,diagnostic_sequence,world_generation,world_revision,active_bundle_generation,outcome,flags,reason,dropped_input_count,source_file
W2,HOLD_AUTO_LOITER_STATUS,21424000000,21424000000,1790145518986680961,539,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,21928000000,21928000000,1790145519606724130,540,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,22432000000,22432000000,1790145520246698798,542,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,22936000000,22936000000,1790145520866721493,544,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,23440000000,23440000000,1790145521506702228,545,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,23944000000,23944000000,1790145522126749788,547,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,24448000000,24448000000,1790145522766690655,549,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W2,HOLD_AUTO_LOITER_STATUS,24952000000,24952000000,1790145523386685044,550,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W2-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,FAULT_START,24616000000,24600000000,,,,,,,,,0,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064024-45983/audit_world_fault.jsonl
W3,WORLD_STALE_REJECT,24912000000,24400000000,1790145664666636808,1251,2,211,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,COMMAND_SUSPEND,24912000000,24400000000,1790145664666646226,1252,2,211,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,ADAPTER_LEASE_DISPOSITION,25004000000,24892000000,1790145664787469023,356,,,2,0,1,1,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/audit_events.jsonl
W3,HOLD_REQUEST,25004000000,0,1790145664787458897,354,,,,0,9,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_SCHEDULE_ATTEMPT,25004000000,0,1790145664787465789,355,,,,0,11,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,FAULT_END,25180000000,,,,,,,,,,6,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064024-45983/audit_world_fault.jsonl
W3,HOLD_AUTO_LOITER_STATUS,25188000000,25024000000,1790145665026313510,364,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,WORLD_STALE_REJECT,25232000000,24400000000,1790145665066768550,1293,2,211,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,COMMAND_SUSPEND,25232000000,24400000000,1790145665066771862,1294,2,211,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,FIRST_FRESH_WORLD_AFTER_FAULT,25248000000,25200000000,1790145665086642227,1295,2,212,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,RECERT_START_AFTER_FAULT,25248000000,25200000000,1790145665086649894,1296,2,212,0,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,RECERT_END_AFTER_FAULT,25248000000,25200000000,1790145665086652959,1297,2,212,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,WORLD_COMMIT_AFTER_FAULT,25248000000,25200000000,1790145665086656784,1298,2,212,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O4_WORLD_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,25528000000,25528000000,1790145665446260309,365,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,26032000000,26032000000,1790145666066234020,367,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,26536000000,26536000000,1790145666706235391,368,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,27040000000,27040000000,1790145667326212648,370,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,27544000000,27544000000,1790145667966244095,372,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W3,HOLD_AUTO_LOITER_STATUS,28048000000,28048000000,1790145668586220559,373,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W3-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
