run,kind,ros_now_ns,source_stamp_ns,bag_observer_ns,diagnostic_sequence,world_generation,world_revision,active_bundle_generation,outcome,flags,reason,dropped_input_count,source_file
W5,HOLD_AUTO_LOITER_STATUS,28664000000,28664000000,1790145924614911918,404,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,29168000000,29168000000,1790145925234778888,405,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,29672000000,29672000000,1790145925874765234,407,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,30176000000,30176000000,1790145926494752299,409,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,FAULT_END,30620000000,,,,,,,,,,49,/home/letandat/Dev/uav-navigation/.artifacts/runtime/external-mode-check-20260923T064439-52901/audit_world_fault.jsonl
W5,WORLD_STALE_REJECT,30640000000,25500000000,1790145927065944049,1808,2,215,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,COMMAND_SUSPEND,30640000000,25500000000,1790145927065952763,1809,2,215,2,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,FIRST_FRESH_WORLD_AFTER_FAULT,30652000000,30600000000,1790145927085867661,1810,2,216,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,RECERT_START_AFTER_FAULT,30652000000,30600000000,1790145927085875856,1811,2,216,0,0,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,RECERT_END_AFTER_FAULT,30652000000,30600000000,1790145927085877002,1812,2,216,0,2,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,WORLD_COMMIT_AFTER_FAULT,30652000000,30600000000,1790145927085878415,1813,2,216,0,1,0,0,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O4_WORLD_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,30680000000,30680000000,1790145927134841824,410,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,31184000000,31184000000,1790145927754767060,412,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,31688000000,31688000000,1790145928394830777,413,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,32192000000,32192000000,1790145929014792934,415,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
W5,HOLD_AUTO_LOITER_STATUS,32696000000,32696000000,1790145929654812360,417,,,,1,12,4,,/home/letandat/Dev/uav-navigation-experiment-runtime-observability-20260923/.artifacts/experiment_runtime_observability/20260923T041656Z-7da3e97c/run-W5-normalized/O3_HOLD_PROTOCOL_EVENTS.csv
