timestamp_ns,bundle_generation,trajectory_time_s,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active,planner_position,planner_velocity,planner_acceleration,planner_jerk,LIO_position,LIO_velocity,PX4_input_trajectory_position,PX4_input_trajectory_velocity,PX4_input_trajectory_acceleration,PX4_effective_position_setpoint,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,PX4_position,PX4_velocity,aligned_lio_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,external_mode_reason,lio_source_age_ms,ground_truth_source_age_ms,px4_state_source_age_ms,px4_setpoint_source_age_ms,planner_speed_mps,planner_acceleration_mps2,planner_lateral_acceleration_mps2,planner_jerk_mps3,lio_gt_position_error_m,lio_gt_velocity_error_mps,px4_gt_position_error_m,px4_gt_velocity_error_mps,relative_time_from_T_cross_s
11980000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.0922244735847455,-0.09337126713968306,-0.008283128959404435]","[0.0020181941561480824,0.004285044254167566,-2.7972053040710505e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.047962360084056854,-0.060090214014053345,0.0526275634765625]","[0.0017764187650755048,0.0002771719009615481,0.0005403708200901747]",NOT_RECORDED,NOT_RECORDED,0.1010856591252419,0.0018773621160553837,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,20.0,8.0,8.0,,,,,0.1313232802991373,0.004736612117097626,0.1010856591252419,0.0018773621160553837,-18.348
11996000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09219135429097694,-0.09330299668008524,-0.008283288032098884]","[0.0020787538811623874,0.004399725780650872,-1.2198633668330777e-05]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.047962360084056854,-0.060090214014053345,0.0526275634765625]","[0.0017764187650755048,0.0002771719009615481,0.0005403708200901747]",NOT_RECORDED,NOT_RECORDED,0.1010856591252419,0.0018773621160553837,NOT_RECORDED,NOT_RECORDED,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,16.0,16.0,16.0,,,,,0.13125147765973835,0.0048661024907039295,0.1010856591252419,0.0018773621160553837,-18.332
23880000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.2148422991373045,-0.22321761762205744,2.8957196879145335]","[0.00921867437728768,0.01629341965347931,0.06159427666272751]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,"[0.0013462554197758436,0.0018877873662859201,0.033333078026771545]","[-0.012323347851634026,-0.027622420340776443,-0.197434663772583]","[-0.04991918429732323,-0.05988136678934097,2.951888084411621]","[0.008503004908561707,0.010829076170921326,0.054798565804958344]",0.004345406237147258,0.23896141313353056,0.1088102793660871,0.014506598321686652,0.07717708813694513,0.19976908017692804,11884.0,11884.0,NOT_RECORDED,NOT_RECORDED,12.0,20.0,12.0,12.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.13030401433759722,0.018853801790213537,0.1088102793660871,0.014506598321686652,-6.448
23896000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21468677514869966,-0.22294417249234205,2.8966950160601312]","[0.009654703219104135,0.017293952901342474,0.05985802479270352]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,"[-0.00015736185014247894,-0.00022945180535316467,-0.0006320476531982422]","[-0.0169168240390718,-0.0347286993637681,-0.3252888470888138]","[-0.04991918429732323,-0.05988136678934097,2.951888084411621]","[0.008503004908561707,0.010829076170921326,0.054798565804958344]",0.0035356045425361166,0.23896141313353056,0.10863394893017894,0.014062813841748917,0.04533633287837143,0.3276000135418524,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,16.0,12.0,12.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.12999210038690637,0.019514428427325693,0.10863394893017894,0.014062813841748917,-6.432
23912000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21498221501664017,-0.2229394644691646,2.8975632189479397]","[0.009201211203902054,0.01761831285409455,0.05651484848415374]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.05048800384004911,-0.0603611059486866,2.9506746927897134]","[-0.001161627471446991,-0.0011808490380644798,-0.0024323463439941406]","[-0.0200896505266428,-0.03782271593809128,-0.3201642682154973]","[-0.04975491389632225,-0.05963641777634621,2.952880859375]","[0.008607735857367516,0.011094491928815842,0.05202585086226463]",0.002642553382759823,0.2394615072315417,0.10894126136784733,0.014195441991923916,0.04425018449130932,0.32304331960670296,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,12.0,20.0,20.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.13019392011079384,0.01906420800485421,0.10894126136784733,0.014195441991923916,-6.416
23928000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21664823521301338,-0.22376115905034835,2.8981454595806273]","[0.005461094812379914,0.01555634901030765,0.05048016488869844]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.05174183721343676,-0.06081237271428108,2.9519627888997397]","[-0.0032903477549552917,-0.0022330163046717644,-0.002048969268798828]","[-0.02656431682407856,-0.0411098375916481,-0.298980916539828]","[-0.04950694367289543,-0.059261150658130646,2.954237937927246]","[0.00871400535106659,0.01140639465302229,0.043996021151542664]",0.0017418178485101435,0.2401945198729293,0.10947826301101259,0.01571271120024874,0.04568203403386529,0.30299142772750615,16.0,16.0,NOT_RECORDED,NOT_RECORDED,20.0,12.0,20.0,20.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.13196911679365872,0.01486651609239759,0.10947826301101259,0.01571271120024874,-6.4
23944000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21655184787934267,-0.22350260183916928,2.8989042666298817]","[0.00630913544115434,0.01623735176355938,0.0439248642549432]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.052055295556783676,-0.0609251894056797,2.952284812927246]","[-0.004006728529930115,-0.002781369723379612,-0.0025396347045898438]","[-0.02823459217324853,-0.043070461601018906,-0.2778835594654083]","[-0.049343209713697433,-0.059007540345191956,2.955019950866699]","[0.008665267378091812,0.01160413771867752,0.037468258291482925]",0.0009348003961067742,0.24065971630238694,0.10977398622553051,0.016275612199365956,0.04568338922433975,0.2826489698065467,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,16.0,12.0,12.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.13172155547769895,0.015717556212080864,0.10977398622553051,0.016275612199365956,-6.384
23960000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21644738194214144,-0.2232341587897688,2.8995639980665926]","[0.006804579276417363,0.0167883970332572,0.03736210553815973]","[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.05199505388736725,-0.06076359003782272,2.9527591466903687]","[-0.0041623804718256,-0.0029251445084810257,-0.002747178077697754]","[-0.028564815409481525,-0.04372903145849705,-0.2545238062739372]","[-0.049097057431936264,-0.05861944705247879,2.9559926986694336]","[0.00868056621402502,0.0118265300989151,0.02773405611515045]",0.00021560032982173636,0.24132016591793723,0.11027592607557565,0.01833581694241771,0.04560470312616424,0.25986409018986895,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,20.0,12.0,12.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.13146418575025345,0.016217088934773288,0.11027592607557565,0.01833581694241771,-6.368
23976000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.2164196260561486,-0.2231716102882111,2.899768450501073]","[0.006758495066181557,0.01664702924426396,0.04215510290356902]","[0.00017042791401952235,3.427374313940867e-06,-7.210188212698527e-06]","[0.02118694573271799,0.00042650536052011066,-0.0008965473141249737]","[-0.21633376758336695,-0.22295986691198805,2.900126871755985]","[0.007392961561753862,0.017245274456167112,0.031049825372397977]","[-0.0518266857,-0.0603356399,2.95390797]","[0.00675849523,0.0166470297,0.0421551019]","[0.000170427913,3.42737439e-06,-7.21018841e-06]","[-0.05190778058022261,-0.06053540296852589,2.953402101993561]","[-0.002584994537755847,0.0011920323595404625,0.007817763835191727]","[-0.023749670246616006,-0.031518135918304324,-0.1884705377742648]","[-0.049097057431936264,-0.05861944705247879,2.9559926986694336]","[0.00868056621402502,0.0118265300989151,0.02773405611515045]",0.0004250561500502303,0.24132016591793723,0.11016650935536561,0.014585997774821339,0.05383440959002468,0.1925934479709834,16.0,16.0,NOT_RECORDED,NOT_RECORDED,12.0,16.0,12.0,12.0,0.045824158901495105,0.00017061479298641165,0.00016946803644390693,0.021210195034231865,0.1311906550595969,0.016710804377909234,0.11016650935536561,0.014585997774821339,-6.352
23992000000,1,0.032,MAIN,MAIN,TRACK_MAIN,False,"[-0.21631145032396648,-0.2229052570190166,2.9004429304629458]","[0.006764815549598777,0.016647156505980372,0.04215483543303039]","[0.0006742789316431096,1.3587192569107636e-05,-2.853929560144088e-05]","[0.041679514909172,0.0008415771452707409,-0.0017649285988964086]","[-0.21621261394035435,-0.2226825795906026,2.9005975752097553]","[0.007874170143809712,0.017452675159784065,0.02549216631788604]","[-0.0517185107,-0.0600692853,2.95458245]","[0.00676481565,0.0166471563,0.0421548337]","[0.000674278941,1.35871924e-05,-2.85392962e-05]","[-0.05179059753815333,-0.06024685502052307,2.9541327555974326]","[0.0024321330711245537,0.013728486374020576,0.03966779510180155]","[-0.007939639501273632,0.006383978296071291,-0.04070083393404881]","[-0.04894096776843071,-0.05836400389671326,2.956514358520508]","[0.008642112836241722,0.011937119998037815,0.02178739383816719]",0.0002885634515429282,0.24131039649038158,0.11046737984743553,0.014459069331288578,0.08333968124635477,0.04188957299085244,16.0,16.0,NOT_RECORDED,NOT_RECORDED,16.0,12.0,20.0,20.0,0.04582489170244238,0.0006750193929459433,0.0006704719076859944,0.04172535425990456,0.13090797955631492,0.017055627746077478,0.11046737984743553,0.014459069331288578,-6.336
