run,request_id,planning_cycle_id,structural_class,observed_phases,reasons
6,5,598,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
6,,,MISSING_PRODUCER_EXPORT_IDENTITY,publish,BUNDLE_IDENTITY_MISSING|BUNDLE_OWNER_MISSING_EXPORT|COMMAND_AUTHORIZATION_LINEAGE_MISSING|COMMAND_IDENTITY_MISSING|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
7,1,4,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,authorize|export|publish|request,LIFECYCLE_PHASE_INCOMPLETE:activate
7,2,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
7,5,367,MISSING_CONSUMER_OR_SUPERSESSION_WITNESS,export|request,LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,,MISSING_PRODUCER_EXPORT_IDENTITY,authorize|publish,BUNDLE_IDENTITY_CONFLICT|BUNDLE_OWNER_MISSING_EXPORT|LIFECYCLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:request
7,5,488,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,520,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,521,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,522,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,523,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,524,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,525,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
7,5,526,MISSING_BUNDLE_IDENTITY,request,BUNDLE_IDENTITY_MISSING|LIFECYCLE_PHASE_INCOMPLETE:activate|LIFECYCLE_PHASE_INCOMPLETE:authorize|LIFECYCLE_PHASE_INCOMPLETE:export|LIFECYCLE_PHASE_INCOMPLETE:publish
