run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,568,,,,,,0.0,,
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,568,,,,,,0.0,,
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,568,0.002,1.346,3.443,4.63,,5.783,1.5144524647887325,
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,778,17.211000000000002,62.639,78.423,87.327,,145.556,62.013827763496145,
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,778,7.0920000000000005,11.742,15.864,17.841,,20.273,12.00373264781491,
external-mode-gui-20260922T014226-221089,forest_clutter,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,568,0.0,0.0,0.0,0.002,,2.811,0.022080985915492957,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,790,,,,,,0.0,,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,790,,,,,,0.0,,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,790,0.003,1.587,3.266,5.311,,6.011,1.7347911392405064,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,897,19.975,61.435,76.155,87.014,,118.292,60.51131995540691,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,897,6.104,11.622,15.242,16.894000000000002,,20.159,11.76861761426979,
external-mode-gui-20260922T014501-225072,long_featured,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,790,0.0,0.0,0.0,1.808,,5.7780000000000005,0.034908860759493676,
external-mode-gui-20260922T014758-229248,long_open,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,152,14.122,33.09,105.355,156.364,,229.26,43.15175,
external-mode-gui-20260922T014758-229248,long_open,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,152,6.837,10.748000000000001,14.3,16.708000000000002,,18.842,11.036217105263159,
external-mode-gui-20260922T015008-233245,long_open_slow,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,765,,,,,,0.0,,
