run,crossing_data_source,classification,waypoint,request,epoch,odom_sequence,odom_prev_source_ns,odom_current_source_ns,crossing_observer_wall_ns,crossing_error_m,inside_ball,speed_mps,source_gap_s,latest_compatible_command_bag_ns,latest_command_source_ns,latest_command_sample,latest_command_bundle,latest_command_continuation,latest_command_valid_until_ns,first_future_continuation_bag_ns,first_future_continuation_source_ns,first_future_continuation_sample,mission_accept_bag_ns,mission_accept_source_ns,next_goal_bag_ns,next_goal_source_ns,adapter_receive_ns,mission_callback_ns,successor_activation_ns,warning
external-mode-gui-20260922T014226-221089,rosbag_recorder,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,2,90231820162504,2091,46408000000,46428000000,1790041417744110290,0.791478,1,0.989538,0.02,1790041417735049077,46420000000,1572,6,1,46520000000,1790041417755095819,46435999999,1573,1790041417755408596,46436000000,1790041417755387670,46436000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014501-225072,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,90387008204045,1279,29688000000,29708000000,1790041552005549311,0.788328,1,0.934468,0.02,1790041551993817362,29699999999,431,2,1,29800000000,1790041552013835621,29716000000,432,1790041552014122448,29716000000,1790041552014093573,29716000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014501-225072,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,2,90387008204045,1961,43328000000,43348000000,1790041569056205856,0.797037,1,0.56487,0.02,1790041569053940682,43347999999,1284,4,1,43448000000,1790041569073879354,43363999999,1285,1790041569074249610,43364000000,1790041569074229181,43364000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014501-225072,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,2,3,90387008204045,2570,55508000000,55528000000,1790041584285178147,0.798473,1,0.946536,0.02,1790041584273818667,55524000000,2045,7,1,55624000000,1790041584293809224,55539999999,2046,1790041584293041817,55536000000,1790041584292995090,55536000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T014501-225072,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,3,4,90387008204045,3386,71828000000,71848000000,1790041604680620283,0.798533,1,0.429121,0.02,1790041604673915663,71843999999,3065,9,1,71944000000,1790041604693978151,71855999999,3066,1790041604693343175,71856000000,1790041604693235684,71856000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,0,1,90695073308889,1253,45292000000,45312000000,1790041879483908308,0.794122,1,1.01511,0.02,1790041879481131950,45307999999,442,2,1,45408000000,1790041879501078033,45323999999,443,1790041879500092482,45324000000,1790041879500039003,45324000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,1,3,90695073308889,2264,65812000000,65832000000,1790041905133687243,0.782451,1,1.42478,0.02,1790041905121175858,65819999999,1119,5,1,65920000000,1790041905141174855,65835999999,1120,1790041905141404072,65836000000,1790041905141380249,65836000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CONTINUATION_PUBLISHED_BEFORE_CROSSING,2,5,90695073308889,2998,80492000000,80512000000,1790041923483707556,0.78615,1,0.989609,0.02,1790041923481367204,80507999999,1727,10,1,80608000000,1790041923501084044,80524000000,1728,1790041923499920498,80524000000,1790041923499881678,80524000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3759,95712000000,95732000000,1790041942509777078,0.79928,1,0.954131,0.02,1790041942501156262,95724000000,2678,12,0,95824000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
external-mode-gui-20260922T015008-233245,runner_monitor_wall_arrival,CROSSING_BEFORE_FUTURE_PUBLISHED_CONTINUATION_CANDIDATE,3,6,90695073308889,3760,95732000000,95752000000,1790041942534073272,0.781942,1,0.904281,0.02,1790041942521152731,95739999999,2679,12,0,95840000000,1790041944061151507,96971999999,2756,1790041945241289397,97916000000,1790041945241262031,97916000000,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,UNOBSERVABLE_WITH_CURRENT_TARGET,ODOMETRY_SAMPLE_OPPORTUNITY_NOT_MISSION_CALLBACK;OBSERVER_WALL_NOT_ADAPTER_RECEIVE
