run,profile,infrastructure,run_verdict,metric,clock_domain,scope,n,min,p50,p95,p99,p999,max,mean,over_100_ms
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,command_recorder_interarrival_ms,recorder wall time,per run; diagnostic samples not event-paired,3307,18.105468,19.999879,20.200495,20.31469,20.667405,39.745384,20.005970791956454,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,command_source_interarrival_ms,ROS source time,per run; diagnostic samples not event-paired,3307,15.999999,16.0,16.000001,16.000001,16.000001,31.999999,16.00483822195343,0
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,command_store_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.088,0.179,0.229,,0.268,0.10093520518358533,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,command_transport_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.085,0.171,0.217,,0.263,0.09614254859611232,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,652,17.878,60.475,78.193,88.412,,97.949,59.2881763803681,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,mapping_observation_to_diagnostic_stamp_proxy_ms,ROS source time,per run; diagnostic samples not event-paired,652,44.0,72.0,92.0,104.0,,112.0,72.23312883435582,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,652,6.774,11.335,14.557,17.024,,18.56,11.538499999999999,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.0,0.0,1.616,,2.497,0.045058315334773225,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,planning_scheduling_gap_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.0,0.241,400.052,,400.145,7.8209028077753775,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,planning_worker_runtime_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,463,0.0,0.248,0.499,20.303,,33.555,0.714535637149028,
external-mode-gui-20260922T013029-201643,long_featured,VALID,FAIL,world_source_age_at_command_stamp_ms,ROS source time,per run; diagnostic samples not event-paired,3308,51.999999,127.999999,180.0,251.999999,328.0,375.999999,128.28174074516323,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,COUNTER_LAST_command_publication_deadline_miss_count,counter,last observed cumulative counter,379,,,,,,0.0,,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_recovery_count,counter,last observed cumulative counter,379,,,,,,0.0,,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,COUNTER_LAST_world_freshness_command_suspend_count,counter,last observed cumulative counter,379,,,,,,0.0,,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,active_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.001,0.991,1.966,2.484,,4.0360000000000005,1.0712849604221635,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,adapter_setpoint_update_duration_ms,diagnostic duration,per run; diagnostic samples not event-paired,2057,0.026175,0.069089,0.13973,0.185039,0.252811,0.295942,0.0780458531842489,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,adapter_setpoint_update_duration_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,2053,0.026175,0.069092,0.13973,0.185039,0.252811,0.295942,0.07808548416950803,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,adapter_state_receive_to_update_ms,steady duration,per run; diagnostic samples not event-paired,2057,0.016856,10.604918,20.877726,25.550985,26.074929,26.200794,11.044886708313078,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,adapter_state_source_age_at_update_ms,ROS source time,per run; diagnostic samples not event-paired,2056,0.0,8.0,16.0,20.0,20.0,20.0,8.422178988326849,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,adapter_state_source_age_at_update_tracking_ms,diagnostic duration,per run; diagnostic samples not event-paired,2052,0.0,8.0,16.0,20.0,20.0,20.0,8.421052631578947,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,command_recorder_interarrival_ms,recorder wall time,per run; diagnostic samples not event-paired,2115,18.782856,19.999146,20.209891,20.311511,20.468383,21.186072,20.000016632624114,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,command_source_interarrival_ms,ROS source time,per run; diagnostic samples not event-paired,2115,15.999999,16.0,16.000001,16.000001,16.000001,16.000001,15.999999999527187,0
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,command_store_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.10300000000000001,0.184,0.281,,1.066,0.11512928759894459,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,command_transport_publish_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.099,0.177,0.274,,1.054,0.11049868073878627,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,mapping_callback_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,465,18.496,59.179,76.297,86.622,,102.376,57.181455913978496,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,mapping_observation_to_diagnostic_stamp_proxy_ms,ROS source time,per run; diagnostic samples not event-paired,465,40.0,72.0,92.0,108.0,,116.0,70.68387096774194,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,mapping_snapshot_export_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,465,7.156000000000001,11.434000000000001,14.884,16.594,,17.098,11.5825311827957,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,pending_revalidation_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.0,0.0,1.548,,2.575,0.05113456464379947,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,planning_scheduling_gap_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.0,0.233,400.041,,400.105,8.484978891820582,
external-mode-gui-20260922T013317-205860,long_featured,VALID,FAIL,planning_worker_runtime_diagnostic_ms,diagnostic duration,per run; diagnostic samples not event-paired,379,0.0,0.25,0.494,19.466,,37.863,0.7261266490765171,
