timestamp_ns,bundle_generation,trajectory_time_s,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active,planner_position,planner_velocity,planner_acceleration,planner_jerk,LIO_position,LIO_velocity,ground_truth_position,ground_truth_velocity,PX4_input_trajectory_position,PX4_input_trajectory_velocity,PX4_input_trajectory_acceleration,PX4_effective_position_setpoint,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,PX4_position,PX4_velocity,aligned_lio_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,external_mode_reason,lio_source_age_ms,ground_truth_source_age_ms,px4_state_source_age_ms,px4_setpoint_source_age_ms,planner_speed_mps,planner_acceleration_mps2,planner_lateral_acceleration_mps2,planner_jerk_mps3,lio_gt_position_error_m,lio_gt_velocity_error_mps,px4_gt_position_error_m,px4_gt_velocity_error_mps,gt_tracking_error_m
11364000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09106680109098811,-0.09324998427291503,-0.008409147374640541]","[0.0024315784740372576,0.003547976830193729,-0.00011004686096604166]","[4.388733120730583e-18,-1.8860659005935403e-18,-0.013000850154250926]","[0.0,0.0,0.0]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.06757494062185287,-0.07243045419454575,0.003261566162109375]","[0.0005350490100681782,0.0014596821274608374,0.00050042086513713]",NOT_RECORDED,NOT_RECORDED,0.10038430892984099,0.0016332086206814263,NOT_RECORDED,NOT_RECORDED,16.0,16.0,WAIT_AIRBORNE,WAIT_AIRBORNE,16.0,16.0,20.0,20.0,,,,,0.1304216452980899,0.004302653108792455,0.10038430892984099,0.0016332086206814263,NOT_RECORDED
11380000000,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"[-0.09102381311022693,-0.09319177815753002,-0.008410997107277867]","[0.0026239548715109697,0.003547640103648761,-2.6387289226608392e-05]","[4.388733120730583e-18,-1.8860659005935403e-18,-0.013000850154250926]","[0.0,0.0,0.0]",NOT_RECORDED,"[0.0,0.0,-0.0]","[0.0,0.0,-0.0]",NOT_RECORDED,NOT_RECORDED,"[0.0,0.0,-100.0]","[-0.06756386905908585,-0.07239017635583878,0.003261566162109375]","[0.0005779591156169772,0.001473684562370181,0.00044442512444220483]",NOT_RECORDED,NOT_RECORDED,0.1003477962862631,0.0016441704960035075,NOT_RECORDED,NOT_RECORDED,16.0,16.0,WAIT_AIRBORNE,WAIT_AIRBORNE,12.0,20.0,20.0,20.0,,,,,0.13034994752695767,0.004412661981364069,0.1003477962862631,0.0016441704960035075,NOT_RECORDED
23276000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.19011555150810525,-0.21260343989634492,2.8972089115202326]","[-0.00019050258982166904,0.006852258475526385,0.06417685544812939]","[-0.09972090017663202,-0.12530275339099936,2.954972857361207]","[-0.013297541037081535,-0.006189134514588123,0.060066920018941]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06559004634618759,-0.07016904652118683,2.9250073432922363]","[0.0034478181041777134,0.0018795816286001354,0.060283318161964417]","[0.024167047813534737,-0.015118280425667763,-0.08043646812438965]","[-0.06789819896221161,-0.07138600945472717,2.904696464538574]","[-0.0029965166468173265,0.005395769141614437,0.0517347976565361]",0.003437849048968914,0.18890367376470274,0.08029579854841414,0.017599584065380675,0.10436015782724707,0.08537449525783268,11896.0,11896.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,16.0,12.0,12.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.13830862696434473,0.018941065366358197,0.08029579854841414,0.017599584065380675,0.1392292889636414
23292000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.19010730423339614,-0.21248013063594026,2.8982293655530915]","[0.0005136300788729934,0.007863051198650656,0.06280034301435575]","[-0.09992258625685593,-0.12539896987578175,2.9558959110005327]","[-0.012953952309894386,-0.006115118327407273,0.058742695980938134]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06731736101210117,-0.07096870243549347,2.9107367396354675]","[0.0009433400118723512,0.0005011983157601207,0.015170369297266006]","[0.015501362504437566,-0.019531684461981058,-0.25125626660883427]","[-0.06795939803123474,-0.07127223163843155,2.9057579040527344]","[-0.002657413948327303,0.005556704476475716,0.05073102191090584]",0.0028094325912639538,0.18897966306411554,0.08040627422321342,0.01750534407547859,0.05944029033777727,0.25251125597441665,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,12.0,12.0,12.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.1379921823136603,0.019830015081821157,0.08040627422321342,0.01750534407547859,0.13940338368309976
23308000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.1900864783495901,-0.21234871226290974,2.899231172438455]","[0.0016328246556619943,0.008484907803229882,0.06115538783995066]","[-0.10011690316489832,-0.12549486406170174,2.9567885698795933]","[-0.012557430953529649,-0.006041630273005402,0.0571570704476341]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06788011640310287,-0.07115311548113823,2.9066059589385986]","[0.00017641112208366394,5.301833152770996e-05,7.367134094238281e-05]","[0.012222189921885729,-0.021162413991987705,-0.30195385217666626]","[-0.0680360496044159,-0.07110469043254852,2.907306671142578]","[-0.0021730484440922737,0.005801007151603699,0.04688774794340134]",0.002484477466177283,0.18911078393688338,0.08022425104168174,0.018802724429427837,0.0445267190938377,0.30296070597732117,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,20.0,12.0,12.0,12.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.13766251997718748,0.020697106191547878,0.08022425104168174,0.018802724429427837,0.1395763702326007
23324000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.19172171245202665,-0.2134956401294503,2.8983290856908184]","[-0.0017483032481823417,0.005839888856717027,0.05328002599770877]","[-0.10030228577388474,-0.12559034199539662,2.957633100254256]","[-0.012077390247159415,-0.005994090080446439,0.054866560086823016]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06786710023880005,-0.07107097655534744,2.9072320461273193]","[0.00026787444949150085,7.2587281465530396e-06,-0.0003151893615722656]","[0.011630194494500756,-0.021634414326399565,-0.2920948937535286]","[-0.0680360496044159,-0.07110469043254852,2.907306671142578]","[-0.0021730484440922737,0.005801007151603699,0.04688774794340134]",0.0015266976124816017,0.18911078393688338,0.08088600428939957,0.017345943286126396,0.044127902566364015,0.29314600930437645,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,16.0,12.0,12.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.14000649684045896,0.0157876592987557,0.08088600428939957,0.017345943286126396,0.13974138464479144
23340000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.19215356141836973,-0.2137107933105687,2.89868857406579]","[-0.0018086885229927395,0.005782476790562544,0.04694072146047228]","[-0.10047882262570397,-0.12568423767042217,2.958404697500473]","[-0.01147711130175448,-0.00593991466828077,0.05124637157827092]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06820777431130409,-0.07130992040038109,2.9070441325505576]","[-0.00018871016800403595,-0.000522710382938385,-0.0014381011327107747]","[0.009529063904968401,-0.023341870866715908,-0.2774978329737981]","[-0.06807458400726318,-0.07098919153213501,2.908268928527832]","[-0.0018917372217401862,0.005942809861153364,0.041927170008420944]",0.0011047520596906856,0.1892132356654693,0.08096405426476776,0.01788647691401859,0.04307596994643746,0.278662741643277,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,20.0,20.0,20.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.14042417038614696,0.01579339999747176,0.08096405426476776,0.01788647691401859,0.13988782492314122
23356000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.192173439695623,-0.21360827899812432,2.8994083472602528]","[-0.0007517191818305467,0.006503236448871815,0.040910840075810286]","[-0.1006448079976968,-0.12577669362583987,2.9590557833664963]","[-0.010908665994289048,-0.005845040921406906,0.045804517925278634]","[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[0.0,0.0,-0.0]","[0.0,0.0,-0.0]","[-0.06957047060132027,-0.07226569578051567,2.90629247824351]","[-0.0021884534507989883,-0.002122841775417328,-0.0030429760615030927]","[0.0026365223263079916,-0.027839253656566143,-0.26225801805655163]","[-0.06811888515949249,-0.07082272320985794,2.909548759460449]","[-0.001448654686100781,0.006016746629029512,0.0331539586186409]",0.0003774619746041497,0.18937135232759097,0.08080111346380914,0.019754251912271873,0.04187162024849501,0.26377047164111606,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,12.0,16.0,20.0,20.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.14017736780076848,0.01672099295672436,0.08080111346380914,0.019754251912271873,0.13999538172967554
23372000000,1,0.016,MAIN,MAIN,TRACK_MAIN,False,"[-0.1921847093793525,-0.21355954443343445,2.8997824802295367]","[-0.0009860420946760425,0.006470629651264898,0.043993684828893126]","[0.00017140050882784465,6.0452202450965175e-06,-7.773752441210714e-06]","[0.021307950585792282,0.0007520605021662398,-0.0009666291100746426]","[-0.1921779499231768,-0.21349419986939633,2.9000364105842786]","[0.000303462262193052,0.007255969184782154,0.034704250136487154]","[-0.10080277599335123,-0.12586684436388093,2.9596129589594473]","[-0.010360029811409533,-0.005733221535639207,0.0398383422861193]","[-0.0699653327,-0.0722818077,2.90778327]","[-0.000986042083,0.00647062948,0.0439936854]","[0.000171400505,6.04522029e-06,-7.77375226e-06]","[-0.06995178572833538,-0.07233751565217972,2.9073635935783386]","[-0.0034673073096200824,0.0024580975295975804,0.030257205478847027]","[-0.001950300415046513,-0.013968816725537181,-0.10699774418026209]","[-0.06813806295394897,-0.07071366906166077,2.9102859497070312]","[-0.0011560121783986688,0.006065670400857925,0.02719169110059738]",0.00026229034933925076,0.18948044086707747,0.08088269323935661,0.01959248778808283,0.07499212892218807,0.10795348025758987,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,16.0,12.0,12.0,12.0,0.04447792297219243,0.00017168316848565268,0.00017135503850210788,0.021343118914580593,0.1399190514543844,0.017572365833210393,0.08088269323935661,0.01959248778808283,0.1400726724950393
23388000000,1,0.032,MAIN,MAIN,TRACK_MAIN,False,"[-0.19220044601440128,-0.21345601294603278,2.9004863773705356]","[-0.0009796855071454757,0.006470854039662065,0.04399339645021942]","[0.000678132970670646,2.3951688678859563e-05,-3.077035043937892e-05]","[0.04191812780819545,0.0014826995759832414,-0.0019029241920679892]","[-0.1921688829328082,-0.21336665408708347,2.9005700649611303]","[0.0013219587959170367,0.008357712860462808,0.02857532238046253]","[-0.10095187435360038,-0.1259561729206128,2.960083783502265]","[-0.009795229165078656,-0.005633196972379127,0.03382772614973753]","[-0.0699810684,-0.0721782818,2.90848732]","[-0.000979685457,0.00647085393,0.0439933948]","[0.000678132987,2.39516885e-05,-3.07703522e-05]","[-0.06997320055961609,-0.07223004475235939,2.9081352949142456]","[-0.0037205888656899333,0.0040792059153318405,0.041374631226062775]","[-0.003309442661702633,-0.009145008400082588,-0.04325850121676922]","[-0.06815803796052933,-0.07055770605802536,2.911222457885742]","[-0.0007155968341976404,0.006151186302304268,0.020129993557929993]",0.0001264311931918977,0.18953023118249876,0.0808198922116614,0.020222247416775516,0.0861229240112988,0.0445147914417724,16.0,16.0,WAIT_FIRST_COMMAND,WAIT_FIRST_COMMAND,20.0,12.0,12.0,12.0,0.04447752991030078,0.0006792531367372008,0.0006779603560940209,0.041987485724410634,0.13965320464094827,0.018625927398825407,0.0808198922116614,0.020222247416775516,0.1397654272423645
