lio_health_observed,lio_position_error_gt_horizontal_p95_m,lio_position_error_gt_max_m,lio_position_error_gt_p95_m,lio_velocity_error_gt_p95_mps,profile,px4_position_error_gt_max_m,px4_position_error_gt_p95_m,px4_velocity_error_gt_p95_mps,quality,run_id,segment_id
True,0.03280199383751174,0.04252475027058727,0.03444056673030067,0.022465252326302032,longitudinal,0.08898524968455278,0.08740153015087068,0.3074807005574816,MARGINAL,sim-check-20260904T160837-159859,LONG_00
True,0.041443923749136725,0.04410471262135229,0.04234076114068607,0.017983358934303497,longitudinal,0.07941149859841676,0.0781988603927235,0.7976483376525287,GOOD,sim-check-20260904T160837-159859,LONG_01
True,0.07009817138757371,0.09356162225613658,0.09227711517870237,0.02707143171944069,longitudinal,0.23183866005566178,0.21274312833980052,2.2135063550310505,UNUSABLE,sim-check-20260904T160837-159859,LONG_02
True,0.11900158065953198,0.19280154339973343,0.19111305079340885,0.0618413847246394,longitudinal,0.4661726890499751,0.4203420453231428,4.050250742655932,UNUSABLE,sim-check-20260904T160837-159859,LONG_03
True,0.03432774895119125,0.0855958564602216,0.08044430919369527,0.054641962944464266,lateral,0.07093204163662925,0.06649183293664147,0.4325515509035625,GOOD,sim-check-20260904T161026-161202,LAT_00
True,0.07927780218069375,0.2192657633909734,0.2162852231903439,0.06846298992600122,lateral,0.2513556782320641,0.15011985271589331,1.5216147288328383,UNUSABLE,sim-check-20260904T161026-161202,LAT_01
True,0.12469968345478388,0.37139202268769117,0.36403445046382993,0.13278481435471035,lateral,0.28275127063368216,0.21066887784775837,2.617947495827744,UNUSABLE,sim-check-20260904T161026-161202,LAT_02
True,0.18373524798729504,0.5405055316995581,0.5362832565147376,0.17094029775928962,lateral,0.28974782783708963,0.241069382384822,3.51050663137451,UNUSABLE,sim-check-20260904T161026-161202,LAT_03
