record_time_ns,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
1785256489976044171,140,941,282,14881,18164,2117,2273,22057
1785256490033348944,255,933,299,15369,19480,1979,2273,23366
1785256490042683721,255,933,299,15369,19480,1979,2273,23366
1785256490083284062,214,870,147,4005,4709,411,2273,6639
1785256490136106014,148,877,281,15898,19768,2388,2385,26165
1785256490159841819,147,953,288,9998,12314,2112,2385,16280
1785256490182584971,108,818,129,3666,4279,407,2385,5961
1785256490233478818,127,864,279,15610,19706,2338,2385,23583
1785256490266572350,135,931,312,14872,18612,2229,2385,22628
1785256490276202092,135,931,312,14872,18612,2229,2385,22628
1785256490333940446,249,863,302,15920,19755,1971,2385,23521
1785256490342375851,249,863,302,15920,19755,1971,2385,23521
1785256490382145040,212,865,120,3282,3824,347,2385,5612
1785256490432493510,128,872,274,15520,18972,2175,2385,22700
1785256490466978815,141,919,287,15363,19283,2184,2385,23220
1785256490475867104,141,919,287,15363,19283,2184,2385,23220
1785256490530565367,201,845,280,13918,16972,2052,2385,20796
1785256490571737870,136,931,311,16688,20789,2457,2506,27493
1785256490576158455,136,931,311,16688,20789,2457,2506,27493
1785256490629837099,229,876,314,13421,15899,1812,2506,19559
1785256490642735946,229,876,314,13421,15899,1812,2506,19559
1785256490684484792,223,934,137,4964,5761,587,2506,7810
1785256490728640601,128,883,258,13326,15668,1761,2506,18888
1785256490767021445,137,870,312,15711,19783,2112,2506,23528
1785256490784792274,137,880,155,5394,6286,677,2506,8473
1785256490827806900,113,899,245,12715,15046,1663,2506,18157
1785256490865962362,125,866,292,14900,18559,2182,2506,22322
1785256490876073907,125,866,292,14900,18559,2182,2506,22322
1785256490930581762,221,828,261,13551,16099,2481,2506,20348
1785256490942470505,221,828,261,13551,16099,2481,2506,20348
1785256490986446516,225,863,159,6762,7844,778,2506,10059
1785256491030290793,136,914,247,12580,14720,1569,2507,20300
1785256491064699477,133,875,291,14238,17799,1651,2507,21034
1785256491085328295,143,879,196,5384,6228,971,2507,8818
1785256491126802817,128,879,223,11599,13694,1611,2507,16744
1785256491163961003,130,913,424,13318,16651,1473,2507,19969
1785256491176050591,130,913,424,13318,16651,1473,2507,19969
1785256491226526316,212,872,216,11487,13319,1387,2507,16382
1785256491242417278,212,872,216,11487,13319,1387,2507,16382
1785256491289473876,224,870,185,9014,10522,1142,2507,13125
1785256491323815737,126,880,193,9346,10988,1396,2507,13781
1785256491362574525,126,875,286,12612,16070,1333,2507,18968
1785256491390118063,126,830,194,9544,11042,1144,2507,13561
1785256491426830953,122,834,209,9877,11423,1129,2685,16606
1785256491464015877,126,881,289,13284,16738,1934,2685,20261
1785256491476035570,126,881,289,13284,16738,1934,2685,20261
1785256491523390702,248,933,188,9130,10588,1258,2685,13432
1785256491542361630,248,933,188,9130,10588,1258,2685,13432
1785256491592408934,239,869,216,10972,12801,1572,2685,15900
1785256491620160792,133,900,184,7251,8356,875,2685,10619
1785256491664619324,135,874,298,13937,17917,1712,2685,21200
1785256491695144991,145,932,249,12892,15083,1927,2685,18700
1785256491720824343,155,868,171,7776,8959,875,2685,11238
1785256491764205811,128,897,292,13772,17270,1629,2685,20488
1785256491775836409,128,897,292,13772,17270,1629,2685,20488
1785256491820813041,219,869,155,7159,8260,774,2685,10688
