timestamp_ns,time_s,segment_id,segment_kind,mode,run_id,quality,delta_v_px4_controller,delta_a_px4_controller,px4_effective_setpoint_error_gt
,,LONG_00,,,sim-check-20260904T160837-159859,MARGINAL,"{'count': 500, 'rms': 0.05095253019762477, 'p95': 0.07436449562918307, 'max': 0.07634437070476871}","{'count': 500, 'rms': 0.07940591478343449, 'p95': 0.12602958925015184, 'max': 0.1409831313038133}","{'count': 500, 'rms': 0.08957041607815874, 'p95': 0.12646034508401233, 'max': 0.12808958721138683}"
,,LONG_01,,,sim-check-20260904T160837-159859,GOOD,"{'count': 500, 'rms': 0.027474399030259836, 'p95': 0.04194557165796401, 'max': 0.04590565685930005}","{'count': 500, 'rms': 0.08502017547031862, 'p95': 0.1347162733591933, 'max': 0.15700882359610838}","{'count': 500, 'rms': 0.06354228378431868, 'p95': 0.09326323803989714, 'max': 0.09491475124096654}"
,,LONG_02,,,sim-check-20260904T160837-159859,UNUSABLE,"{'count': 375, 'rms': 0.0441545498725241, 'p95': 0.07662679747737518, 'max': 0.08446092828897113}","{'count': 375, 'rms': 0.1463794181681338, 'p95': 0.23659357734039416, 'max': 0.26902963073161645}","{'count': 375, 'rms': 0.1551436369768292, 'p95': 0.22586570783441118, 'max': 0.25074157142870285}"
,,LONG_03,,,sim-check-20260904T160837-159859,UNUSABLE,"{'count': 312, 'rms': 0.09058117995974811, 'p95': 0.15028815773851403, 'max': 0.15856537881511332}","{'count': 312, 'rms': 0.3401929576936941, 'p95': 0.7286696162351433, 'max': 0.8312746695631197}","{'count': 312, 'rms': 0.2962929473838967, 'p95': 0.45189548331811297, 'max': 0.49576920771871347}"
