timestamp_ns,relative_time_from_T_cross_s,bundle_generation,trajectory_time_s,analytic_role,NavigationCommand_role,recovery_state,safety_suffix_active,planner_position,planner_velocity,planner_acceleration,planner_jerk,LIO_position,LIO_velocity,PX4_input_trajectory_position,PX4_input_trajectory_velocity,PX4_input_trajectory_acceleration,PX4_effective_position_setpoint,PX4_effective_velocity_setpoint,PX4_effective_acceleration_setpoint,PX4_position,PX4_velocity,aligned_LIO_tracking_error_m,px4_tracking_error_m,frame_position_residual_m,frame_velocity_residual_mps,delta_v_px4_controller_mps,delta_a_px4_controller_mps2,command_gap_ms,setpoint_gap_ms,external_mode_output_state,planner_source_method,LIO_source_method,LIO_position_source_ns,LIO_position_source_age_ms,LIO_velocity_source_ns,LIO_velocity_source_age_ms,LIO_velocity_source_semantics,PX4_state_source_method,PX4_position_source_ns,PX4_position_source_age_ms,PX4_velocity_source_ns,PX4_velocity_source_age_ms,PX4_effective_source_method,PX4_effective_source_ns,PX4_effective_source_age_ms,planner_velocity_norm_mps,planner_acceleration_norm_mps2,planner_jerk_norm_mps3
26344000000,-2.975484858,1,3.2960000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.0787370593033108,-0.14534738785389098,2.9715205547085928","0.77868399601539773,0.049232699217096006,0.0099544410622494292","-0.052087935122049345,0.0047683707200539618,-0.0011729622908712989","-0.35114403035850206,-0.013574035663458842,0.0090926692467583892","1.0272878059773043,-0.20564266630654707,2.9417627903966537","0.76149844664833033,0.056513059455046526,0.018963097406525284",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.022672825492918491,1.1885966062545776,-2.9819140434265137","0.068951297551393509,0.76602080464363098,-0.023851944133639336","0.052390018478035927,-0.010964374989271164,0.017525023780763149","0.0094479033723473549,1.1977967023849487,-2.9680476188659668","0.053949881345033646,0.77765563130378723,-0.021661420352756977",0.08466446012543775,0.025253628083950215,0.060020060989247004,0.016580272758200985,0.027245552437171097,0.06501044876132403,28.0,16.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26348000000,4.0,26348000000,4.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26332000000,12.0,26332000000,12.0,position:linear;velocity:linear;acceleration:linear,26332000000,12.0,0.7803023229617934,0.05231888937218082,0.351523912607146
26360000000,-2.959484858,1,3.3120000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.0911890969951394,-0.14455906357956419,2.9716796818171884","0.7778058243270638,0.049307256167335355,0.0099368333964447164","-0.057672072555766896,0.0045512820129914172,-0.00102825669912536","-0.34684904564872365,-0.013561303307740372,0.008994883186986477","1.0394619799646789,-0.20472907946904106,2.9420658244055415","0.76022880178138696,0.058055313546901535,0.018870836478529406",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.023262514732778072,1.1979515254497528,-2.9820337295532227","0.068864049389958382,0.76104952394962311,-0.023714938201010227","0.049575205892324448,-0.025759817566722631,0.016830601263791323","0.010135933058336377,1.210101991891861,-2.9682881832122803","0.054731010459363461,0.77632611989974976,-0.021402817685157061",0.084694191059483,0.025357592147454883,0.05992407666587275,0.016630861987651204,0.029207497932843277,0.05740435378713172,16.0,24.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26368000000,8.0,26368000000,8.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26356000000,4.0,26356000000,4.0,position:linear;velocity:linear;acceleration:linear,26356000000,4.0,0.7794304629187925,0.057860517044688746,0.3472305823777371
26376000000,-2.943484858,1,3.3280000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.1036263721270321,-0.14376957417192884,2.971838545658029","0.77683886235100874,0.049378341519810132,0.0099215283383610395","-0.063186337596207398,0.0043344329846314866,-0.00088514662245046949","-0.34241025279821535,-0.013544076534712984,0.0088932358805859646","1.0516156987755576,-0.20378824574149035,2.9423671100775679","0.75889297468492256,0.05981594923846726,0.018782184672035955",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.023984231054782867,1.2093758980433147,-2.9821797211964927","0.0689496931930383,0.75903930266698205,-0.023615037091076374","0.047277244428793587,-0.032563366927206516,0.016178439060846966","0.010847855048875013,1.2223747968673706,-2.9685161908467612","0.055524362251162529,0.77495738863945007,-0.021200807765126228",0.08471078204468385,0.02546286862100859,0.05981601481872178,0.016802763232232103,0.02978882866483828,0.05491571888748852,16.0,16.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26368000000,8.0,26368000000,8.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26372000000,4.0,26372000000,4.0,position:linear;velocity:linear;acceleration:linear,26372000000,4.0,0.7784698294697268,0.06334101398512175,0.34279339677850224
26392000000,-2.927484858,1,3.3440000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.1160474730959444,-0.14297897514280294,2.971997182865985","0.77578424638285304,0.049445959684471449,0.0099084998670731506","-0.068628442497701503,0.0041178955086195942,-0.00074369354823108913","-0.33782930911683984,-0.013522360160539468,0.0087877641297232495","1.0637497033833045,-0.2028196624661959,2.9426672576540009","0.7575864982975945,0.061724046847236397,0.018681006680609881",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.02450978010892868,1.2176773150761921,-2.9822858969370523","0.068695633361736938,0.7525424758593241,-0.023492672480642796","0.044309151669343315,-0.050856431014835835,0.015480813880761465","0.011575913367172083,1.2346171140670776,-2.9687329928080239","0.056287189945578575,0.7735036313533783,-0.020955311134457588",0.08471250845768277,0.025572199975993398,0.05969095049013336,0.01697312577085968,0.033094706213303085,0.04635044961615261,16.0,24.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26388000000,4.0,26388000000,4.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26396000000,4.0,26396000000,4.0,position:linear;velocity:linear;acceleration:linear,26396000000,4.0,0.7774215576085766,0.06875589620660844,0.3382140167424649
26408000000,-2.911484858,1,3.3600000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.1284510067712532,-0.14218732192424877,2.9721556296517444","0.77464314910763044,0.04951011622058419,0.009897720982627721","-0.073996126474859647,0.0039017413725572769,-0.00060395836388336954","-0.33310792732892658,-0.01349616012449685,0.0086785061282483311","1.075867182947954,-0.20182704415798336,2.9429663661227075","0.75607980467731595,0.063234628459271205,0.018732154464673804",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.025431211106479168,1.2321818470954895,-2.982471227645874","0.06903640553355217,0.75482836365699768,-0.023453637026250362","0.043124178424477577,-0.044777221977710724,0.014396112877875566","0.012324679177254438,1.2468262910842896,-2.968940258026123","0.05702420137822628,0.77191299200057983,-0.020715533755719662",0.08469928040641402,0.02568239599719546,0.05955142915815292,0.017122879978399952,0.030946155764005338,0.050816999856772294,16.0,0.0,WAIT_FIRST_COMMAND,scenario.pva_command,exact,26408000000,0.0,26408000000,0.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26396000000,12.0,26396000000,12.0,position:linear;velocity:linear;acceleration:linear,26396000000,12.0,0.7762868187391901,0.07410138382464294,0.3334941589534928
26416000000,-2.903484858,1,3.3760000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.1408355990734977,-0.14139466985019594,2.9723139217862276","0.77341677916136597,0.049570817835207115,0.0098891637158207354","-0.07928715658920904,0.0036860422600326626,-0.00046600133458835069","-0.32824787557326118,-0.013465483488976457,0.0085655014616945607","1.0814529969555708,-0.20134069066942839,2.9447975387752177","0.75471197740428642,0.063848611654977031,0.021634946392255602",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.02595790692915519,1.2404679656028748,-2.9825770854949951","0.069305930286645889,0.75743509332338965,-0.023448007491727669","0.0428288783878088,-0.037675571938355759,0.013789249739299217","0.012702513330926498,1.2529253562291462,-2.9690423011779785","0.057388404384255409,0.77109485864639282,-0.020596598275005817",0.08875229676106675,0.029850849328019895,0.059355713280943134,0.017641180305927453,0.028787691644766463,0.05866169572501886,8.0,24.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26408000000,8.0,26408000000,8.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26420000000,4.0,26420000000,4.0,position:linear;velocity:linear;acceleration:linear,26420000000,4.0,0.7750668202343529,0.07937415993122914,0.32863559587975455
26440000000,-2.879484858,1,3.3920000000000003,MAIN,MAIN,TRACK_MAIN,False,"1.1531998955459941,-0.1406010741380905,2.9724720945851626","0.77210638067840476,0.049628072381384274,0.0098827991383317604","-0.084499328635808446,0.0034708697326508026,-0.00032988208102509298","-0.32325097740308895,-0.01343033843948381,0.0084487911072784888","1.0988531092473073,-0.19982594291086397,2.9478566344905941","0.7514833309260589,0.066046876279935343,0.026075047452026302",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.02721107192337513,1.2601106762886047,-2.98282790184021","0.069530528038740158,0.7577577531337738,-0.023392456583678722","0.039548256434500217,-0.036518524400889874,0.012463167775422335","0.013874247903004289,1.2711631953716278,-2.9693310260772705","0.05858165305107832,0.76855190098285675,-0.020313427783548832",0.08406592138205984,0.025897500523119007,0.059046468744039377,0.019500305198756993,0.028008957458252135,0.06124501635240394,24.0,16.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26448000000,8.0,26448000000,8.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26436000000,4.0,26436000000,4.0,position:linear;velocity:linear;acceleration:linear,26436000000,4.0,0.7737628049805743,0.08457122618710675,0.32364015581170674
26456000000,-2.863484858,1,3.4080000000000004,MAIN,MAIN,TRACK_MAIN,False,"1.1655425619190871,-0.13980658987057595,2.9726301828938202","0.77071323282459114,0.049681888856049627,0.0098785973732140112","-0.089630468029874955,0.0032562952120640254,-0.00019565955710394711","-0.31811911178612995,-0.013390734284639369,0.0083284174339004063","1.1108690763808455,-0.19876225247341425,2.9482744415858075","0.75010332510023459,0.067682336449882211,0.026183905298864923",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.027937827010949452,1.2714598774909973,-2.9829729795455933","0.069467335939407349,0.75546982884407043,-0.023344645897547405","0.037104827041427292,-0.042368081087867417,0.012009879418959221","0.014679845267285904,1.2832789023717244,-2.9695164362589517","0.059340002636114754,0.76679531733194983,-0.020220391141871612",0.08401286989802724,0.026003761692183602,0.05888493197369333,0.019590320038851576,0.028375336897760436,0.059321430507058064,16.0,16.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26448000000,8.0,26448000000,8.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26452000000,4.0,26452000000,4.0,position:linear;velocity:linear;acceleration:linear,26452000000,4.0,0.7723760509086874,0.08968981291331159,0.31850972290533197
26472000000,-2.847484858,1,3.4240000000000004,MAIN,MAIN,TRACK_MAIN,False,"1.1778622846668343,-0.13901127197720914,2.9727882210719243","0.76923864931625796,0.049732277397644346,0.0098765276057405718","-0.094678430693428517,0.0030423899620014017,-6.3392027699143982e-05","-0.31285421310454886,-0.013346681456177456,0.0082044242021440394","1.1228659780665338,-0.19767496248997898,2.9486941694721565","0.74891099426301522,0.069103675819436439,0.026316519888334614",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.028466890255610149,1.2797027230262756,-2.9830783605575562","0.069058507680892944,0.74883690476417542,-0.023267765839894611","0.033338888858755432,-0.060289918755491577,0.011668571426222721","0.015506907521436611,1.2953613201777141,-2.9696944554646811","0.060140741368134819,0.76506312688191735,-0.020117795405288536",0.08394370522406416,0.026107291773241614,0.058712127520744326,0.019484603340423606,0.03112972243971112,0.0472771381068965,16.0,24.0,WAIT_FIRST_COMMAND,scenario.pva_command,linear,26468000000,4.0,26468000000,4.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26476000000,4.0,26476000000,4.0,position:linear;velocity:linear;acceleration:linear,26476000000,4.0,0.7709078705102212,0.09472732126372205,0.3132462372314277
26488000000,-2.831484858,1,3.4400000000000004,MAIN,MAIN,TRACK_MAIN,False,"1.1901577715558687,-0.13821517521621751,2.9729462429787343","0.76768397792501974,0.049779249283446056,0.0098765580946074336","-0.099641103941940035,0.0028292250702994653,6.6862953617990994e-05","-0.30745827115497981,-0.013298191508946761,0.0080768565642764661","1.1348433471293007,-0.1965670750780085,2.9491155853927165","0.74771408359435132,0.070085431603570392,0.026537483838773673",NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,"0.029195019975304604,1.2910204529762268,-2.9832234382629395","0.068935837596654892,0.74647414684295654,-0.023225367069244385","0.031017673201858997,-0.066091433167457581,0.011420304421335459","0.01635008305311203,1.3074120283126831,-2.9698777198791504","0.060857946984469891,0.76323823630809784,-0.020082663744688034",0.08386018130260042,0.026204260166157727,0.05853027074274195,0.019178386071890187,0.03154397741840385,0.0453003756214226,16.0,16.0,WAIT_FIRST_COMMAND,scenario.pva_command,exact,26488000000,0.0,26488000000,0.0,body_twist_rotated_by_q_xyzw_to_lio_enu_then_enu_to_ned,linear,26492000000,4.0,26492000000,4.0,position:linear;velocity:linear;acceleration:linear,26492000000,4.0,0.7693596103395354,0.09968128500336196,0.3078516948320694
