bag_timestamp_ns,timestamp_us,timestamp_ns,position_ned,velocity_ned,acceleration_ned,jerk_ned,yaw,yawspeed
1788526831276770160,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831296684426,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831316652993,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831336737984,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831356681777,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831376773383,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831396650433,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831416705088,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831436688066,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831456686375,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831476699891,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831496794461,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831516704443,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831536723623,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831556699297,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831576675224,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831596705037,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831616701071,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831636764126,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831656615073,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831676740288,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831696665948,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831716684550,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831736643305,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
1788526831756696377,0,0,"nan,nan,nan","nan,nan,nan","nan,nan,nan","nan,nan,nan",1.5722954273223877,-0.0
