record_time_ns,header_ns,timebase_ns,point_count,offset_min_ns,offset_max_ns,offset_regressions,scan_start_ns,scan_end_ns,frame_id,imu_sample_count,first_imu_ns,last_imu_ns,start_bracket,end_bracket,maximum_imu_gap_ns
1701245215537071447,1701245215492814302,1701245215492814302,6528,0,32635000,0,1701245215492814302,1701245215525449302,livox_frame,8,1701245215490148027,1701245215530339262,1,1,6181429
1701245215569368707,1701245215525070429,1701245215525070429,6528,0,32635000,0,1701245215525070429,1701245215557705429,livox_frame,7,1701245215524423756,1701245215560156056,1,1,6140687
1701245215603647826,1701245215559267282,1701245215559267282,6528,0,32635000,0,1701245215559267282,1701245215591902282,livox_frame,8,1701245215554153506,1701245215594192606,1,1,6120560
1701245215635851319,1701245215591532469,1701245215591532469,6528,0,32635000,0,1701245215591532469,1701245215624167469,livox_frame,8,1701245215588111033,1701245215628127704,1,1,6081573
1701245215669994411,1701245215625598907,1701245215625598907,6528,0,32635000,0,1701245215625598907,1701245215658233907,livox_frame,8,1701245215624110329,1701245215662364102,1,1,6264639
1701245215703139302,1701245215658757210,1701245215658757210,6528,0,32635000,0,1701245215658757210,1701245215691392210,livox_frame,7,1701245215656499158,1701245215692148204,1,1,6153689
1701245215736965170,1701245215692527771,1701245215692527771,6528,0,32635000,0,1701245215692527771,1701245215725162771,livox_frame,7,1701245215692148204,1701245215726206658,1,1,6240609
1701245215769905428,1701245215725536108,1701245215725536108,6528,0,32635000,0,1701245215725536108,1701245215758171108,livox_frame,8,1701245215720341653,1701245215762175826,1,1,6155710
1701245215803169707,1701245215758759737,1701245215758759737,6528,0,32635000,0,1701245215758759737,1701245215791394737,livox_frame,8,1701245215756103760,1701245215796222330,1,1,6072066
1701245215837178262,1701245215792749643,1701245215792749643,6528,0,32635000,0,1701245215792749643,1701245215825384643,livox_frame,8,1701245215790329788,1701245215830118791,1,1,6092615
1701245215869564349,1701245215825079441,1701245215825079441,6528,0,32635000,0,1701245215825079441,1701245215857714441,livox_frame,7,1701245215824174480,1701245215860154689,1,1,6067813
1701245215903556586,1701245215859229088,1701245215859229088,6528,0,32635000,0,1701245215859229088,1701245215891864088,livox_frame,8,1701245215854151940,1701245215894492215,1,1,6327435
1701245215936014630,1701245215891565561,1701245215891565561,6528,0,32635000,0,1701245215891565561,1701245215924200561,livox_frame,8,1701245215888164780,1701245215928190178,1,1,6327435
1701245215970032698,1701245215925575018,1701245215925575018,6528,0,32635000,0,1701245215925575018,1701245215958210018,livox_frame,8,1701245215922325990,1701245215962176669,1,1,6083244
1701245216003168777,1701245215958769321,1701245215958769321,6528,0,32635000,0,1701245215958769321,1701245215991404321,livox_frame,7,1701245215956239826,1701245215992118653,1,1,6060256
1701245216035649425,1701245215991218328,1701245215991218328,6528,0,32635000,0,1701245215991218328,1701245216023853328,livox_frame,8,1701245215986129365,1701245216026342891,1,1,6213827
1701245216069899380,1701245216025551558,1701245216025551558,6528,0,32635000,0,1701245216025551558,1701245216058186558,livox_frame,8,1701245216020129064,1701245216060232933,1,1,6213827
1701245216102983641,1701245216058684349,1701245216058684349,6528,0,32635000,0,1701245216058684349,1701245216091319349,livox_frame,8,1701245216054324570,1701245216094125517,1,1,6103468
1701245216137081441,1701245216092743874,1701245216092743874,6528,0,32635000,0,1701245216092743874,1701245216125378874,livox_frame,8,1701245216090227037,1701245216130152923,1,1,6162657
1701245216169125077,1701245216124831676,1701245216124831676,6528,0,32635000,0,1701245216124831676,1701245216157466676,livox_frame,7,1701245216124130893,1701245216158315270,1,1,6343167
1701245216203535318,1701245216159263849,1701245216159263849,6528,0,32635000,0,1701245216159263849,1701245216191898849,livox_frame,7,1701245216158315270,1701245216192334174,1,1,6253088
1701245216235877026,1701245216191557407,1701245216191557407,6528,0,32635000,0,1701245216191557407,1701245216224192407,livox_frame,8,1701245216186309920,1701245216228234500,1,1,6095637
1701245216269852128,1701245216225582123,1701245216225582123,6528,0,32635000,0,1701245216225582123,1701245216258217123,livox_frame,8,1701245216222203635,1701245216262190287,1,1,6094440
1701245216303034115,1701245216258769512,1701245216258769512,6528,0,32635000,0,1701245216258769512,1701245216291404512,livox_frame,8,1701245216256171589,1701245216296352637,1,1,6176446
1701245216336983051,1701245216292663813,1701245216292663813,6528,0,32635000,0,1701245216292663813,1701245216325298813,livox_frame,7,1701245216290379547,1701245216326156168,1,1,6010196
1701245216369832046,1701245216325544357,1701245216325544357,6528,0,32635000,0,1701245216325544357,1701245216358179357,livox_frame,8,1701245216320182799,1701245216360121109,1,1,6118745
1701245216402951232,1701245216358714819,1701245216358714819,6528,0,32635000,0,1701245216358714819,1701245216391349819,livox_frame,8,1701245216354131474,1701245216394204505,1,1,6066391
1701245216437030968,1701245216392805099,1701245216392805099,6528,0,32635000,0,1701245216392805099,1701245216425440099,livox_frame,8,1701245216388138114,1701245216429218953,1,1,7028744
1701245216469372379,1701245216425082684,1701245216425082684,6528,0,32635000,0,1701245216425082684,1701245216457717684,livox_frame,8,1701245216423205368,1701245216463298984,1,1,6228599
1701245216503294648,1701245216459010363,1701245216459010363,6528,0,32635000,0,1701245216459010363,1701245216491645363,livox_frame,7,1701245216457318886,1701245216493175398,1,1,6023552
1701245216535930529,1701245216491551161,1701245216491551161,6528,0,32635000,0,1701245216491551161,1701245216524186161,livox_frame,8,1701245216487151846,1701245216527168947,1,1,6238748
1701245216569906793,1701245216525586605,1701245216525586605,6528,0,32635000,0,1701245216525586605,1701245216558221605,livox_frame,8,1701245216521084968,1701245216561201649,1,1,6325155
1701245216603255833,1701245216558785677,1701245216558785915,6528,0,32635000,0,1701245216558785915,1701245216591420915,livox_frame,8,1701245216555424530,1701245216597136261,1,1,6062668
1701245216636819194,1701245216592530489,1701245216592530489,6528,0,32635000,0,1701245216592530489,1701245216625165489,livox_frame,7,1701245216591147773,1701245216625295968,1,1,6123301
1701245216669282462,1701245216624962807,1701245216624962807,6528,0,32635000,0,1701245216624962807,1701245216657597807,livox_frame,8,1701245216619172667,1701245216659425005,1,1,6268920
1701245216702981171,1701245216658671141,1701245216658671141,6528,0,32635000,0,1701245216658671141,1701245216691306141,livox_frame,8,1701245216653156085,1701245216695337162,1,1,6268920
1701245216737102544,1701245216692755699,1701245216692755699,6528,0,32635000,0,1701245216692755699,1701245216725390699,livox_frame,8,1701245216689347738,1701245216729115091,1,1,6163277
1701245216769439471,1701245216725092173,1701245216725092173,6528,0,32635000,0,1701245216725092173,1701245216757727173,livox_frame,8,1701245216723341602,1701245216763088552,1,1,6069377
