accepted_residual_count,clock_domain,corrected_estimate_valid,covariance_trace,deskew_applied,estimate_validity,imu_samples_per_scan,last_lidar_correction_time_ns,level,lidar_update_status,map_point_count,output_time_ns,predicted_estimate_valid,reason,record_time_ns,registered_scan_valid,residual_rms_m,status
0,,false,0.017000,false,UNAVAILABLE,14,-1,1,NOT_ATTEMPTED,0,-1,false,LiDAR scans overlap a previously propagated interval,1785249566450578931,false,0.000000,COLLECTING_IMU
0,sensor_time,false,0.017000,false,UNAVAILABLE,14,-1,1,NOT_ATTEMPTED,0,-1,false,IMU_INITIALIZATION_NOT_READY,1785249566484246115,false,0.000000,COLLECTING_IMU
0,sensor_time,false,0.017000,false,UNAVAILABLE,7,-1,1,NOT_ATTEMPTED,0,-1,false,IMU_INITIALIZATION_NOT_READY,1785249566517677098,false,0.000000,COLLECTING_IMU
0,sensor_time,false,0.017000,false,UNAVAILABLE,8,-1,1,NOT_ATTEMPTED,0,-1,false,IMU_INITIALIZATION_NOT_READY,1785249566551504757,false,0.000000,COLLECTING_IMU
0,sensor_time,false,0.017000,false,UNAVAILABLE,8,-1,1,NOT_ATTEMPTED,0,-1,false,SCAN_PRECEDES_IMU_INITIALIZATION_EPOCH,1785249566584532291,false,0.000000,INITIALIZING_MAP
0,sensor_time,false,0.017425,true,PREDICTED_ONLY,8,-1,1,NOT_ATTEMPTED,0,1701245215491335895,true,INITIAL_MAP_REFERENCE_CAPTURED,1785249566623443380,false,0.000000,INITIALIZING_MAP
183,sensor_time,false,0.018768,true,PREDICTED_ONLY,8,-1,1,REJECTED,0,1701245215525449302,true,IKFOM_LIDAR_UPDATE_NOT_CONVERGED,1785249566666065844,false,0.124978,INITIALIZING_MAP
183,,false,0.018768,true,UNAVAILABLE,8,-1,1,NOT_ATTEMPTED,0,-1,false,LiDAR scans overlap a previously propagated interval,1785249566684037542,false,0.124978,INITIALIZING_MAP
1428,sensor_time,true,0.014324,true,CORRECTED,13,1701245215591902282,0,SUCCEEDED,3841,1701245215591902282,true,LIDAR_CORRECTION_CONVERGED,1785249571408689721,true,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,LiDAR scans overlap a previously propagated interval,1785249571409575813,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571409739174,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571409892767,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410045765,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410198019,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410359402,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410515411,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410668454,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410829803,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571410995802,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411150134,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411303483,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411458840,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411604540,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411750101,false,0.104263,TRACKING
1428,,false,0.014324,true,UNAVAILABLE,13,1701245215591902282,1,NOT_ATTEMPTED,3841,-1,false,IMU gap exceeds configured synchronization limit,1785249571411896850,false,0.104263,TRACKING
