run,outcome,metric,n,p50_ms,p95_ms,p99_ms,max_ms
7,COMPLETE,worker_ready_to_publish_ms,3800,0.060758,0.083163,0.097063,0.314135
7,COMPLETE,publisher_enter_to_publish_ms,3800,0.060393,0.082618,0.096333,0.313824
7,COMPLETE,publisher_publish_to_exit_ms,3800,0.053106,0.08157,0.106223,0.668399
7,COMPLETE,publish_to_callback_ms,3639,0.1139,0.191443,0.256093,3.02906
7,COMPLETE,mutex_wait_ms,3639,0.000193,0.000588,0.001114,0.012054
7,COMPLETE,callback_to_accept_ms,3639,0.001108,0.002321,0.003576,0.014546
7,COMPLETE,accepted_receive_gap_ms,3638,24.99951,25.399832,25.691845,28.059614
8,COMPLETE,source_period_ms,3343,20.0,20.0,20.0,24.0
8,COMPLETE,producer_publish_interval_ms,3482,24.993335,25.406618,25.677924,30.305923
8,COMPLETE,worker_ready_to_publish_ms,3483,0.061133,0.085469,0.100668,0.16556
8,COMPLETE,publisher_enter_to_publish_ms,3483,0.060646,0.084682,0.099712,0.164751
8,COMPLETE,publisher_publish_to_exit_ms,3483,0.05287,0.086693,0.114491,0.44961
8,COMPLETE,publish_to_callback_ms,3344,0.091548,0.156606,0.223898,1.737399
8,COMPLETE,mutex_wait_ms,3344,8.9e-05,0.000273,0.000553,0.00204
8,COMPLETE,callback_to_accept_ms,3344,0.000864,0.001914,0.002869,0.005497
8,COMPLETE,accepted_receive_gap_ms,3343,24.993594,25.449725,25.715089,30.34878
9,COMPLETE,source_period_ms,3495,20.0,20.0,20.0,20.0
9,COMPLETE,producer_publish_interval_ms,3624,24.999632,25.361171,25.616713,27.250468
9,COMPLETE,worker_ready_to_publish_ms,3625,0.060634,0.083546,0.09717,0.188573
9,COMPLETE,publisher_enter_to_publish_ms,3625,0.060203,0.082924,0.096727,0.188171
9,COMPLETE,publisher_publish_to_exit_ms,3625,0.051605,0.078655,0.100229,0.866085
9,COMPLETE,publish_to_callback_ms,3496,0.110417,0.186089,0.242693,0.988722
9,COMPLETE,mutex_wait_ms,3496,0.000164,0.000505,0.000922,0.023206
9,COMPLETE,callback_to_accept_ms,3496,0.001128,0.002407,0.003818,0.031384
9,COMPLETE,accepted_receive_gap_ms,3495,24.998517,25.390234,25.697964,27.273902
10,COMPLETE,source_period_ms,3138,20.0,20.0,20.0,20.0
10,COMPLETE,producer_publish_interval_ms,3268,25.001126,25.345206,25.555146,26.628752
10,COMPLETE,worker_ready_to_publish_ms,3269,0.060866,0.084092,0.098217,0.184439
10,COMPLETE,publisher_enter_to_publish_ms,3269,0.060409,0.083345,0.097673,0.183903
10,COMPLETE,publisher_publish_to_exit_ms,3269,0.052287,0.079344,0.098151,0.156262
10,COMPLETE,publish_to_callback_ms,3139,0.111865,0.182076,0.236722,1.292513
10,COMPLETE,mutex_wait_ms,3139,0.000189,0.000556,0.001023,0.008486
10,COMPLETE,callback_to_accept_ms,3139,0.001089,0.002245,0.003806,0.079963
10,COMPLETE,accepted_receive_gap_ms,3138,24.999206,25.373083,25.606875,26.686727
